origen,destino,distancia_km,tipo_transporte,dia_semana,hora,es_hora_pico,es_finde_semana,tiempo_viaje_min,costo,transferencias,clima,ocupacion_estimada
Poblado,Suramericana,10.0,Cable,Miercoles,7,1,0,2.9,8980,3,Nublado,19
Aguacatala,Alpujarra,12.2,Metro,Martes,17,1,0,5.7,10016,2,Lluvia,91
Universidad,Bello,11.1,Cable,Sabado,7,1,1,3.0,10179,2,Nublado,49
Niquia,Madera,7.2,Metro,Domingo,2,0,1,2.4,6005,3,Lluvia,32
Prado,Parque Berrio,4.7,Taxi,Miercoles,11,1,0,1.1,4630,0,Tormenta,87
Sabaneta,Universidad,1.2,Cable,Sabado,17,1,1,0.4,1370,2,Nublado,92
Sabaneta,Acevedo,13.2,Bus,Jueves,14,1,0,10.3,13424,1,Soleado,49
San Antonio,Ayura,2.5,Caminando,Viernes,4,0,0,5.7,2322,3,Nublado,14
Suramericana,Madera,10.9,Caminando,Sabado,23,0,1,19.0,9854,1,Tormenta,30
Ayura,Hospital,14.7,Bus,Sabado,3,0,1,7.6,15508,0,Tormenta,30
Itagui,Universidad,11.0,Bus,Lunes,16,0,0,4.6,9614,0,Soleado,24
Niquia,Universidad,1.9,Bus,Lunes,0,0,0,0.8,1889,0,Soleado,13
Ayura,San Javier,11.0,Caminando,Miercoles,17,1,0,29.4,9856,2,Tormenta,21
Parque Berrio,Bello,10.1,Bus,Sabado,9,0,1,4.4,10716,0,Tormenta,45
Industriales,Cisneros,5.4,Caminando,Martes,4,0,0,10.4,5189,0,Soleado,10
Universidad,Estadio,1.0,Metro,Sabado,12,1,1,0.5,1180,3,Tormenta,19
San Antonio,Niquia,6.9,Metro,Martes,13,1,0,2.5,6824,2,Soleado,100
Madera,Floresta,8.6,Bus,Domingo,0,0,1,2.6,9477,2,Tormenta,15
Ayura,La Estrella,7.0,Metro,Martes,17,1,0,3.4,7511,3,Nublado,59
Sabaneta,Poblado,8.8,Metro,Domingo,7,1,1,4.8,9416,3,Soleado,56
Niquia,Exposiciones,7.3,Caminando,Viernes,5,0,0,12.1,7249,0,Nublado,26
Niquia,Acevedo,7.4,Bus,Sabado,22,0,1,3.8,8036,1,Tormenta,11
Parque Berrio,Madera,14.1,Caminando,Viernes,18,1,0,56.1,14960,2,Soleado,68
Aguacatala,Poblado,7.8,Taxi,Domingo,2,0,1,1.5,6536,0,Nublado,45
Madera,La Estrella,4.7,Caminando,Sabado,4,0,1,8.1,4907,2,Soleado,67
Bello,Cisneros,2.5,Taxi,Lunes,8,1,0,0.8,2058,2,Tormenta,74
Tricentenario,Niquia,8.0,Caminando,Viernes,4,0,0,12.8,9400,0,Soleado,90
Exposiciones,Hospital,7.4,Taxi,Martes,8,1,0,1.7,7696,1,Nublado,81
Sabaneta,San Antonio,7.8,Taxi,Viernes,1,0,0,1.7,8299,1,Nublado,98
Prado,Floresta,14.9,Cable,Domingo,2,0,1,2.7,16047,2,Soleado,71
Madera,Bello,2.3,Taxi,Miercoles,20,0,0,0.5,2558,1,Tormenta,23
Cisneros,San Javier,2.1,Metro,Miercoles,5,0,0,0.8,1924,3,Soleado,82
Tricentenario,Hospital,12.3,Metro,Viernes,14,1,0,19.0,14243,0,Lluvia,81
Santa Lucia,San Antonio,12.2,Taxi,Domingo,20,0,1,2.5,13225,1,Tormenta,54
Tricentenario,La Estrella,6.8,Taxi,Viernes,15,0,0,1.5,7949,1,Tormenta,35
Suramericana,Parque Berrio,1.5,Caminando,Miercoles,6,1,0,3.9,1708,3,Nublado,97
Caribe,Madera,7.1,Cable,Domingo,6,1,1,2.5,6227,3,Soleado,61
Prado,Itagui,7.3,Cable,Lunes,23,0,0,1.5,8519,2,Lluvia,79
Ayura,Universidad,12.2,Caminando,Jueves,5,0,0,23.3,13688,2,Tormenta,27
Envigado,Bello,12.4,Taxi,Sabado,1,0,1,3.0,12412,2,Tormenta,89
San Antonio,Exposiciones,3.9,Metro,Domingo,12,1,1,1.9,4196,2,Lluvia,23
Bello,Ayura,13.5,Taxi,Miercoles,21,0,0,2.2,11488,3,Tormenta,22
Sabaneta,Santa Lucia,10.9,Metro,Viernes,10,0,0,3.6,12546,1,Nublado,91
Niquia,Industriales,12.4,Caminando,Miercoles,7,1,0,48.0,11036,0,Soleado,95
Tricentenario,Universidad,13.2,Cable,Martes,18,1,0,3.3,15286,0,Soleado,50
Acevedo,Alpujarra,7.2,Bus,Viernes,11,1,0,5.2,5918,3,Soleado,66
Santa Lucia,Universidad,14.0,Bus,Martes,19,1,0,10.0,11396,1,Soleado,16
Niquia,Industriales,14.6,Taxi,Sabado,19,1,1,4.3,16002,0,Soleado,45
Alpujarra,Tricentenario,8.1,Metro,Domingo,13,1,1,4.9,8724,2,Soleado,38
La Estrella,San Antonio,5.8,Caminando,Miercoles,5,0,0,12.8,6676,2,Nublado,15
Alpujarra,Industriales,14.5,Metro,Sabado,1,0,1,5.0,16370,0,Tormenta,83
Industriales,Itagui,11.0,Metro,Viernes,17,1,0,4.8,10153,3,Lluvia,98
San Javier,Tricentenario,5.3,Bus,Sabado,6,1,1,4.3,4293,0,Tormenta,72
Poblado,Exposiciones,4.1,Bus,Sabado,10,0,1,1.8,3432,3,Nublado,58
San Antonio,Prado,2.5,Bus,Domingo,5,0,1,1.0,2078,1,Nublado,38
Suramericana,Hospital,1.2,Taxi,Jueves,3,0,0,0.3,1355,3,Soleado,55
Hospital,Niquia,4.4,Caminando,Domingo,13,1,1,13.3,4404,3,Nublado,27
Sabaneta,Niquia,5.7,Taxi,Domingo,10,0,1,1.4,6145,3,Lluvia,82
Caribe,Madera,5.4,Bus,Viernes,23,0,0,2.0,4984,3,Nublado,11
Santa Lucia,Tricentenario,2.1,Cable,Miercoles,11,1,0,1.8,1680,3,Soleado,21
Suramericana,Alpujarra,3.5,Bus,Sabado,22,0,1,1.3,2975,1,Soleado,55
Ayura,Cisneros,11.1,Metro,Jueves,18,1,0,6.3,13264,0,Tormenta,37
Envigado,Alpujarra,11.2,Taxi,Jueves,17,1,0,4.2,11648,1,Soleado,58
Envigado,Ayura,13.8,Metro,Lunes,1,0,0,4.6,15980,1,Soleado,80
Exposiciones,La Estrella,13.6,Bus,Jueves,18,1,0,9.2,13042,0,Soleado,75
Tricentenario,Universidad,3.5,Cable,Martes,0,0,0,0.7,3028,1,Nublado,94
Tricentenario,Bello,7.8,Taxi,Sabado,8,1,1,2.0,9227,0,Soleado,63
Alpujarra,Sabaneta,10.4,Caminando,Martes,6,1,0,38.0,11690,1,Soleado,45
Santa Lucia,Floresta,11.0,Bus,Miercoles,4,0,0,4.4,9515,0,Nublado,57
Santa Lucia,Universidad,6.9,Metro,Sabado,16,0,1,2.7,6914,1,Soleado,97
Cisneros,Bello,7.4,Taxi,Sabado,7,1,1,2.4,7955,1,Nublado,19
San Javier,Niquia,10.6,Bus,Lunes,2,0,0,5.0,8872,3,Lluvia,58
Sabaneta,Bello,2.7,Bus,Domingo,23,0,1,1.3,3183,2,Soleado,89
Exposiciones,Industriales,12.2,Bus,Miercoles,18,1,0,5.5,12883,0,Lluvia,61
Envigado,Alpujarra,6.4,Cable,Lunes,14,1,0,2.3,6797,3,Lluvia,56
Bello,San Antonio,10.2,Caminando,Martes,8,1,0,30.2,11730,2,Nublado,38
Itagui,Industriales,3.3,Taxi,Domingo,9,0,1,0.6,3290,1,Tormenta,25
Madera,San Antonio,10.3,Bus,Domingo,6,1,1,8.6,11165,2,Lluvia,96
Tricentenario,Acevedo,8.5,Caminando,Sabado,20,0,1,17.0,9784,0,Tormenta,28
La Estrella,Hospital,4.7,Taxi,Miercoles,2,0,0,0.8,4333,1,Lluvia,68
Caribe,Exposiciones,4.1,Metro,Domingo,17,1,1,1.7,4727,1,Soleado,20
Santa Lucia,Alpujarra,6.2,Caminando,Sabado,12,1,1,20.0,7266,3,Lluvia,73
San Antonio,Cisneros,11.1,Cable,Viernes,18,1,0,4.2,10012,2,Nublado,65
Alpujarra,Sabaneta,14.0,Cable,Lunes,12,1,0,4.4,11648,3,Nublado,45
Tricentenario,Madera,1.3,Bus,Miercoles,9,0,0,1.5,1451,2,Soleado,53
Caribe,Suramericana,12.0,Cable,Domingo,4,0,1,2.3,11448,3,Nublado,24
Hospital,Niquia,6.2,Cable,Jueves,4,0,0,1.3,5803,1,Tormenta,25
Cisneros,Parque Berrio,4.5,Metro,Lunes,8,1,0,3.1,4293,2,Lluvia,37
Santa Lucia,Cisneros,4.1,Metro,Miercoles,18,1,0,2.1,4707,0,Soleado,78
La Estrella,Santa Lucia,13.9,Metro,Jueves,16,0,0,4.0,13733,3,Soleado,81
Prado,Alpujarra,11.3,Bus,Viernes,11,1,0,6.4,11696,2,Lluvia,97
La Estrella,Santa Lucia,3.7,Cable,Sabado,3,0,1,0.8,4240,0,Tormenta,53
Floresta,Tricentenario,2.8,Bus,Sabado,14,1,1,1.8,2517,3,Soleado,24
Prado,Bello,12.4,Metro,Miercoles,22,0,0,4.7,10317,0,Lluvia,51
La Estrella,Ayura,7.8,Metro,Domingo,0,0,1,2.8,6497,2,Nublado,50
Poblado,Santa Lucia,9.5,Bus,Lunes,13,1,0,5.0,11334,1,Tormenta,77
Suramericana,La Estrella,3.8,Metro,Jueves,5,0,0,1.1,3720,1,Tormenta,32
Floresta,Niquia,12.0,Caminando,Jueves,5,0,0,22.5,13380,2,Nublado,40
Tricentenario,Universidad,4.2,Bus,Lunes,22,0,0,1.8,4654,1,Soleado,46
Alpujarra,Ayura,4.2,Bus,Martes,7,1,0,2.5,4368,3,Soleado,16
Envigado,Poblado,9.5,Metro,Viernes,5,0,0,3.5,10051,1,Nublado,58
Bello,Tricentenario,6.5,Metro,Martes,3,0,0,2.0,7040,1,Nublado,100
Madera,Ayura,11.9,Cable,Lunes,8,1,0,3.5,10317,1,Nublado,37
Santa Lucia,Tricentenario,9.9,Bus,Lunes,22,0,0,4.6,8692,2,Nublado,95
San Javier,La Estrella,6.7,Bus,Miercoles,23,0,0,2.5,7477,2,Nublado,57
La Estrella,Bello,13.1,Cable,Lunes,20,0,0,2.5,11240,0,Lluvia,60
San Javier,Cisneros,1.1,Cable,Jueves,3,0,0,0.2,1195,2,Soleado,93
Envigado,San Antonio,4.1,Bus,Martes,21,0,0,1.5,3399,2,Tormenta,39
Itagui,Estadio,1.9,Cable,Miercoles,11,1,0,0.7,1830,2,Soleado,32
La Estrella,Santa Lucia,14.7,Metro,Martes,2,0,0,4.4,17522,2,Lluvia,64
Prado,Niquia,9.3,Caminando,Miercoles,2,0,0,16.5,10044,3,Lluvia,33
Bello,Ayura,3.4,Metro,Miercoles,0,0,0,1.3,2842,3,Soleado,27
Floresta,San Javier,14.2,Metro,Martes,9,0,0,4.9,14484,3,Tormenta,78
Itagui,San Javier,4.0,Cable,Domingo,1,0,1,0.7,4188,1,Soleado,87
Estadio,Caribe,10.4,Bus,Miercoles,20,0,0,3.0,12022,3,Tormenta,55
Hospital,San Javier,3.8,Bus,Jueves,21,0,0,1.6,3781,2,Lluvia,34
Niquia,Envigado,4.3,Caminando,Domingo,10,0,1,7.4,4730,0,Lluvia,13
Estadio,Alpujarra,8.9,Cable,Domingo,8,1,1,3.1,10360,0,Soleado,27
Industriales,Itagui,8.6,Cable,Martes,9,0,0,1.8,8187,3,Tormenta,49
Madera,Poblado,10.7,Bus,Jueves,11,1,0,5.3,10786,1,Lluvia,50
Santa Lucia,Hospital,14.7,Cable,Sabado,1,0,1,3.0,15244,3,Soleado,24
La Estrella,Itagui,4.1,Taxi,Miercoles,18,1,0,1.2,4789,0,Nublado,57
Alpujarra,Acevedo,6.8,Bus,Domingo,5,0,1,2.2,5712,2,Lluvia,77
Sabaneta,Envigado,5.9,Caminando,Sabado,19,1,1,17.5,5717,2,Lluvia,38
Parque Berrio,Floresta,6.5,Taxi,Viernes,9,0,0,1.6,7702,1,Lluvia,45
Itagui,Poblado,13.3,Taxi,Sabado,18,1,1,3.7,15109,1,Nublado,38
Bello,Sabaneta,9.5,Taxi,Domingo,13,1,1,3.3,10849,2,Soleado,41
Caribe,Acevedo,1.9,Metro,Lunes,14,1,0,1.0,1986,2,Lluvia,76
Alpujarra,Universidad,6.2,Taxi,Miercoles,22,0,0,1.2,7428,1,Soleado,41
Niquia,Madera,12.9,Taxi,Viernes,18,1,0,3.2,11791,0,Soleado,28
Floresta,Alpujarra,11.3,Metro,Martes,3,0,0,3.7,11097,3,Nublado,52
Itagui,San Antonio,14.6,Cable,Jueves,17,1,0,4.2,12191,2,Lluvia,80
Parque Berrio,Universidad,6.4,Taxi,Martes,10,0,0,1.0,6893,2,Soleado,36
Parque Berrio,Caribe,1.5,Bus,Lunes,5,0,0,0.5,1424,1,Lluvia,62
Universidad,San Javier,10.3,Metro,Viernes,9,0,0,3.7,12144,3,Soleado,14
Envigado,Cisneros,9.0,Taxi,Martes,22,0,0,1.6,7425,1,Soleado,92
San Javier,Aguacatala,4.7,Cable,Martes,2,0,0,1.0,4526,0,Nublado,39
Envigado,Cisneros,12.4,Taxi,Sabado,5,0,1,2.6,12400,2,Nublado,67
Estadio,San Antonio,8.3,Bus,Sabado,6,1,1,9.0,8043,3,Soleado,37
Universidad,Niquia,4.6,Bus,Domingo,7,1,1,2.4,5258,3,Tormenta,56
Cisneros,Niquia,9.5,Cable,Jueves,4,0,0,1.8,8806,0,Nublado,45
La Estrella,Alpujarra,13.7,Bus,Miercoles,2,0,0,6.3,12768,3,Nublado,40
Niquia,Hospital,8.6,Taxi,Domingo,1,0,1,1.7,9434,0,Soleado,68
Santa Lucia,Caribe,1.7,Bus,Viernes,4,0,0,0.6,1987,3,Lluvia,94
Envigado,Poblado,5.5,Metro,Lunes,20,0,0,1.7,6088,1,Lluvia,16
Exposiciones,Alpujarra,3.2,Caminando,Domingo,17,1,1,11.1,2662,1,Nublado,50
Sabaneta,Bello,6.5,Caminando,Viernes,10,0,0,13.2,6884,1,Nublado,72
Hospital,San Javier,12.1,Bus,Miercoles,18,1,0,4.9,10418,3,Soleado,40
Santa Lucia,Alpujarra,10.4,Caminando,Viernes,23,0,0,24.1,10733,0,Tormenta,47
Santa Lucia,Bello,2.4,Bus,Lunes,4,0,0,1.2,2772,2,Nublado,86
San Antonio,Estadio,3.5,Metro,Miercoles,3,0,0,1.4,4140,2,Nublado,38
Envigado,Poblado,13.0,Bus,Martes,0,0,0,4.1,11570,3,Lluvia,97
Suramericana,Prado,13.7,Caminando,Jueves,12,1,0,39.1,12330,1,Lluvia,47
Parque Berrio,Aguacatala,8.1,Metro,Viernes,16,0,0,2.8,7598,3,Soleado,31
Niquia,Exposiciones,2.0,Caminando,Martes,12,1,0,6.4,2058,3,Lluvia,89
Santa Lucia,Caribe,3.2,Cable,Jueves,20,0,0,0.7,3238,1,Lluvia,33
Poblado,Ayura,13.8,Cable,Viernes,5,0,0,5.9,13855,2,Soleado,28
Suramericana,Sabaneta,9.0,Bus,Miercoles,20,0,0,4.5,8514,0,Soleado,51
Estadio,Industriales,5.4,Bus,Miercoles,4,0,0,2.4,4963,3,Nublado,69
San Javier,Estadio,12.6,Bus,Jueves,13,1,0,9.3,10345,3,Tormenta,19
San Antonio,Santa Lucia,10.0,Taxi,Domingo,16,0,1,2.1,9040,0,Nublado,93
Envigado,Suramericana,10.9,Metro,Jueves,8,1,0,5.4,9559,0,Nublado,19
Alpujarra,Estadio,11.0,Taxi,Viernes,21,0,0,2.2,11858,3,Tormenta,61
Parque Berrio,Niquia,4.7,Metro,Domingo,3,0,1,1.6,4493,1,Soleado,15
Suramericana,Exposiciones,7.2,Bus,Domingo,16,0,1,2.9,6912,2,Tormenta,91
Exposiciones,Parque Berrio,9.3,Cable,Lunes,23,0,0,1.9,10574,1,Soleado,88
Tricentenario,Floresta,3.7,Cable,Domingo,5,0,1,0.7,3045,2,Nublado,88
Prado,Itagui,14.1,Bus,Jueves,9,0,0,7.1,16328,0,Soleado,70
Sabaneta,Poblado,9.1,Bus,Lunes,18,1,0,6.0,8199,0,Soleado,17
Hospital,Poblado,10.9,Cable,Martes,0,0,0,2.0,9810,1,Lluvia,34
Envigado,Exposiciones,9.8,Bus,Miercoles,0,0,0,3.5,9065,1,Soleado,55
Envigado,Floresta,10.2,Bus,Sabado,19,1,1,6.8,10231,3,Nublado,68
Estadio,Industriales,13.3,Bus,Domingo,5,0,1,5.3,15215,1,Nublado,71
Industriales,Estadio,13.4,Metro,Martes,10,0,0,5.3,15866,3,Nublado,60
Poblado,Acevedo,14.5,Bus,Lunes,17,1,0,7.9,16516,1,Nublado,38
Santa Lucia,Sabaneta,5.9,Bus,Jueves,21,0,0,1.9,6915,0,Tormenta,51
Santa Lucia,Suramericana,6.4,Metro,Domingo,15,0,1,2.3,7181,2,Nublado,10
La Estrella,Envigado,4.5,Caminando,Viernes,20,0,0,7.5,4995,3,Tormenta,24
Poblado,Envigado,9.1,Metro,Lunes,18,1,0,4.4,8909,3,Nublado,96
Niquia,Floresta,6.2,Bus,Viernes,12,1,0,4.7,5499,2,Soleado,27
San Antonio,Aguacatala,5.8,Bus,Sabado,19,1,1,2.8,6525,0,Tormenta,48
Tricentenario,Sabaneta,9.8,Caminando,Domingo,14,1,1,27.0,9359,0,Tormenta,83
Sabaneta,Exposiciones,8.7,Cable,Domingo,17,1,1,2.6,8091,2,Lluvia,61
Prado,Madera,2.6,Caminando,Jueves,19,1,0,7.4,2917,2,Nublado,61
Floresta,Itagui,5.1,Caminando,Miercoles,3,0,0,25.7,4106,1,Tormenta,11
San Antonio,Caribe,3.0,Metro,Viernes,5,0,0,1.0,2844,0,Soleado,79
Caribe,Parque Berrio,11.8,Caminando,Sabado,11,1,1,32.8,10585,0,Lluvia,71
Parque Berrio,Santa Lucia,4.7,Caminando,Viernes,7,1,0,19.3,4756,1,Soleado,29
Poblado,Cisneros,4.0,Taxi,Martes,1,0,0,0.9,4756,3,Soleado,85
Estadio,Sabaneta,13.8,Taxi,Jueves,6,1,0,5.1,12875,1,Tormenta,79
San Javier,Parque Berrio,8.0,Cable,Lunes,18,1,0,5.8,8328,1,Tormenta,92
Suramericana,Bello,7.0,Metro,Jueves,20,0,0,2.7,6426,2,Lluvia,48
Prado,Tricentenario,7.8,Caminando,Sabado,1,0,1,16.6,8471,3,Lluvia,31
Parque Berrio,Bello,5.5,Cable,Viernes,4,0,0,1.1,5742,1,Lluvia,64
Estadio,Caribe,5.6,Bus,Jueves,3,0,0,1.9,6367,2,Tormenta,13
Prado,Ayura,8.6,Taxi,Miercoles,12,1,0,2.7,9520,3,Lluvia,31
Acevedo,Prado,7.8,Caminando,Sabado,10,0,1,13.0,7566,2,Nublado,23
Caribe,Floresta,6.5,Caminando,Miercoles,0,0,0,13.8,5421,3,Nublado,91
Tricentenario,San Javier,11.8,Cable,Jueves,5,0,0,2.4,10927,2,Lluvia,96
San Antonio,Itagui,3.4,Taxi,Sabado,5,0,1,0.8,3264,0,Tormenta,24
Ayura,San Antonio,7.3,Cable,Martes,19,1,0,2.3,8220,0,Lluvia,49
Sabaneta,Madera,4.8,Taxi,Lunes,14,1,0,1.2,5736,1,Lluvia,66
Ayura,Estadio,6.0,Taxi,Jueves,14,1,0,1.8,5412,2,Lluvia,87
Universidad,Bello,4.1,Taxi,Martes,15,0,0,0.7,3452,0,Nublado,40
Cisneros,La Estrella,14.1,Caminando,Martes,5,0,0,28.3,12535,0,Lluvia,32
Aguacatala,Itagui,12.6,Cable,Viernes,0,0,0,2.5,10483,2,Nublado,25
Poblado,Floresta,14.0,Taxi,Martes,10,0,0,3.1,14868,0,Soleado,75
Itagui,Acevedo,3.6,Taxi,Miercoles,21,0,0,0.6,3038,3,Tormenta,58
Caribe,Sabaneta,4.1,Cable,Miercoles,2,0,0,0.9,4547,2,Tormenta,90
Suramericana,Industriales,10.7,Taxi,Martes,1,0,0,1.7,11588,2,Tormenta,39
Itagui,Niquia,3.3,Caminando,Miercoles,21,0,0,7.1,3330,2,Lluvia,31
La Estrella,Parque Berrio,9.7,Cable,Jueves,23,0,0,2.1,10806,3,Lluvia,66
Caribe,Itagui,11.6,Taxi,Martes,10,0,0,1.9,9930,0,Nublado,28
Madera,Aguacatala,12.5,Caminando,Lunes,23,0,0,23.0,14088,3,Soleado,69
Niquia,Alpujarra,14.0,Caminando,Domingo,9,0,1,31.5,12670,3,Tormenta,30
Ayura,Exposiciones,11.2,Caminando,Domingo,2,0,1,23.6,11838,2,Tormenta,78
Acevedo,Suramericana,12.7,Metro,Jueves,7,1,0,6.2,10224,0,Nublado,23
Poblado,Aguacatala,3.1,Caminando,Sabado,11,1,1,12.5,2830,2,Soleado,90
Cisneros,San Javier,11.6,Taxi,Martes,17,1,0,3.8,13247,2,Nublado,26
San Javier,Exposiciones,12.0,Metro,Martes,3,0,0,3.3,12864,1,Tormenta,49
Tricentenario,San Javier,11.1,Taxi,Sabado,3,0,1,1.7,11888,2,Soleado,74
Santa Lucia,Acevedo,13.3,Metro,Lunes,10,0,0,4.1,12036,3,Soleado,53
Santa Lucia,Cisneros,11.6,Caminando,Viernes,6,1,0,30.2,11345,3,Nublado,36
Alpujarra,Hospital,9.8,Caminando,Viernes,22,0,0,19.9,11603,3,Soleado,56
La Estrella,Parque Berrio,10.1,Cable,Domingo,7,1,1,3.7,10595,1,Lluvia,54
Suramericana,Acevedo,6.5,Metro,Lunes,9,0,0,2.3,5642,1,Tormenta,72
Caribe,Aguacatala,15.0,Metro,Domingo,17,1,1,8.0,13905,2,Nublado,76
Madera,Industriales,2.1,Taxi,Lunes,2,0,0,0.5,2428,3,Lluvia,91
Universidad,Alpujarra,12.6,Caminando,Sabado,9,0,1,20.6,10874,0,Nublado,95
Envigado,Itagui,1.1,Metro,Martes,15,0,0,0.3,1118,1,Soleado,43
La Estrella,Prado,9.3,Taxi,Jueves,3,0,0,2.1,10174,3,Soleado,63
Aguacatala,Exposiciones,9.0,Taxi,Lunes,21,0,0,1.5,8478,3,Lluvia,50
Estadio,Alpujarra,8.5,Metro,Domingo,7,1,1,4.5,8772,2,Nublado,12
La Estrella,Industriales,11.6,Caminando,Martes,3,0,0,26.3,13885,0,Nublado,49
Universidad,Sabaneta,3.9,Caminando,Jueves,2,0,0,7.7,3834,1,Nublado,37
Exposiciones,Parque Berrio,2.3,Cable,Martes,0,0,0,0.5,2571,0,Lluvia,34
Ayura,San Javier,6.5,Cable,Domingo,5,0,1,1.3,5330,2,Soleado,93
Caribe,Prado,7.3,Metro,Domingo,1,0,1,2.1,6884,0,Soleado,17
Santa Lucia,Floresta,2.4,Cable,Sabado,18,1,1,0.6,2213,0,Soleado,89
Aguacatala,Floresta,3.0,Caminando,Domingo,3,0,1,5.5,2442,3,Nublado,59
Prado,Sabaneta,6.2,Cable,Martes,5,0,0,1.4,5413,1,Lluvia,11
Prado,Floresta,2.5,Bus,Domingo,13,1,1,1.6,2488,3,Soleado,98
Exposiciones,Universidad,8.6,Metro,Lunes,0,0,0,2.8,7121,1,Soleado,14
Sabaneta,San Antonio,2.0,Bus,Domingo,13,1,1,1.1,1630,0,Lluvia,69
Aguacatala,La Estrella,7.9,Taxi,Jueves,1,0,0,1.3,8595,0,Soleado,69
Universidad,La Estrella,10.2,Cable,Sabado,6,1,1,2.6,10139,0,Tormenta,19
La Estrella,Exposiciones,1.3,Cable,Viernes,5,0,0,0.3,1512,2,Tormenta,24
Aguacatala,Acevedo,7.6,Caminando,Jueves,17,1,0,17.4,6285,1,Nublado,48
Parque Berrio,Cisneros,2.3,Bus,Sabado,11,1,1,1.2,2530,2,Soleado,28
Floresta,San Javier,11.4,Metro,Domingo,8,1,1,6.4,11309,0,Nublado,96
Caribe,Poblado,13.9,Taxi,Miercoles,3,0,0,2.7,14428,2,Soleado,96
Tricentenario,Parque Berrio,2.6,Taxi,Domingo,11,1,1,0.5,2226,2,Soleado,31
Suramericana,Industriales,11.3,Caminando,Domingo,22,0,1,25.3,10509,3,Tormenta,75
San Javier,Industriales,15.0,Bus,Domingo,14,1,1,11.6,15495,2,Soleado,75
Floresta,Hospital,14.7,Cable,Miercoles,17,1,0,3.6,16023,1,Soleado,65
Parque Berrio,Bello,6.5,Metro,Sabado,18,1,1,4.1,6279,1,Lluvia,79
Prado,Envigado,8.1,Cable,Lunes,14,1,0,2.4,7800,2,Tormenta,33
Tricentenario,Floresta,3.8,Metro,Viernes,2,0,0,1.4,4484,1,Soleado,55
San Antonio,Niquia,1.3,Bus,Martes,0,0,0,0.5,1234,3,Tormenta,40
Itagui,Acevedo,2.7,Caminando,Viernes,0,0,0,4.6,2190,0,Tormenta,82
Estadio,Floresta,3.8,Bus,Jueves,4,0,0,1.5,4347,3,Soleado,59
Niquia,Itagui,14.2,Taxi,Martes,17,1,0,5.3,13234,3,Nublado,15
Bello,Niquia,10.6,Caminando,Miercoles,16,0,0,19.1,8999,1,Tormenta,20
Acevedo,Envigado,10.7,Metro,Jueves,2,0,0,3.3,11695,2,Nublado,12
Universidad,San Javier,6.1,Taxi,Domingo,0,0,1,1.1,6167,3,Soleado,67
San Antonio,Industriales,5.0,Caminando,Viernes,19,1,0,16.6,5130,1,Soleado,22
Bello,Itagui,12.3,Bus,Sabado,20,0,1,5.5,10406,1,Nublado,93
Hospital,Envigado,3.1,Cable,Domingo,9,0,1,0.7,3320,2,Soleado,73
Prado,Floresta,12.1,Taxi,Martes,14,1,0,4.0,10660,1,Lluvia,68
Niquia,Bello,14.9,Taxi,Viernes,5,0,0,3.1,17269,2,Soleado,80
Acevedo,Santa Lucia,12.0,Cable,Miercoles,20,0,0,2.6,9708,2,Tormenta,24
Bello,Madera,1.8,Cable,Miercoles,5,0,0,0.8,1957,1,Nublado,68
Madera,Niquia,8.9,Metro,Lunes,6,1,0,5.7,7520,1,Soleado,93
Prado,Itagui,7.1,Taxi,Lunes,15,0,0,1.3,8484,2,Lluvia,58
Floresta,Bello,14.7,Taxi,Martes,5,0,0,2.8,16523,2,Tormenta,13
Acevedo,La Estrella,6.1,Metro,Viernes,7,1,0,3.8,7161,2,Tormenta,29
Prado,Hospital,7.9,Taxi,Lunes,13,1,0,2.1,9377,0,Nublado,68
San Javier,Caribe,12.9,Cable,Miercoles,0,0,0,2.7,12629,3,Nublado,26
Prado,Madera,8.1,Caminando,Viernes,13,1,0,31.2,8416,0,Nublado,84
Bello,San Javier,6.8,Bus,Sabado,0,0,1,3.4,6494,3,Lluvia,28
Tricentenario,Prado,1.8,Taxi,Martes,6,1,0,0.7,1944,1,Soleado,29
Madera,Alpujarra,3.3,Cable,Sabado,19,1,1,2.8,3805,2,Lluvia,92
Cisneros,Madera,11.8,Metro,Viernes,21,0,0,4.0,10325,3,Nublado,10
San Javier,Industriales,10.5,Bus,Sabado,7,1,1,7.6,9356,0,Lluvia,85
Suramericana,Industriales,4.6,Caminando,Domingo,12,1,1,15.0,3915,0,Nublado,21
Caribe,Exposiciones,2.2,Taxi,Viernes,21,0,0,0.5,1793,0,Tormenta,16
Parque Berrio,La Estrella,8.0,Caminando,Miercoles,0,0,0,13.4,8464,3,Soleado,17
Universidad,Caribe,9.3,Metro,Miercoles,6,1,0,5.0,7673,0,Soleado,45
Bello,Niquia,4.4,Bus,Lunes,15,0,0,2.0,3740,3,Tormenta,15
Estadio,Floresta,11.6,Metro,Miercoles,12,1,0,7.5,13734,0,Lluvia,22
Itagui,San Javier,13.1,Taxi,Sabado,14,1,1,5.1,13414,2,Nublado,53
Ayura,Caribe,8.8,Metro,Domingo,15,0,1,3.1,9390,0,Tormenta,27
Estadio,Poblado,7.6,Caminando,Miercoles,22,0,0,17.9,6186,0,Tormenta,29
Tricentenario,Hospital,4.5,Caminando,Miercoles,20,0,0,9.0,4054,3,Lluvia,39
Bello,Aguacatala,3.5,Cable,Martes,3,0,0,2.1,3784,2,Lluvia,69
