origen,destino,distancia_km,dia_semana,hora,es_hora_pico,es_finde_semana,es_urgente,presupuesto,transporte_optimo
San Javier,Acevedo,7.9,Lunes,5,0,0,0,alto,Metro
Ayura,Santa Lucia,6.9,Martes,7,1,0,0,alto,Bus
Niquia,San Antonio,3.0,Jueves,12,1,0,1,medio,Taxi
Madera,Caribe,9.2,Domingo,0,0,1,1,bajo,Taxi
San Antonio,Exposiciones,7.5,Martes,11,1,0,1,alto,Taxi
Exposiciones,Aguacatala,1.7,Miercoles,11,1,0,1,bajo,Taxi
San Antonio,Floresta,8.2,Lunes,4,0,0,1,medio,Taxi
Parque Berrio,Itagui,11.7,Lunes,0,0,0,1,medio,Taxi
Aguacatala,Madera,4.0,Jueves,9,0,0,1,bajo,Taxi
Acevedo,San Javier,13.5,Domingo,16,0,1,0,bajo,Bus
Prado,Itagui,11.2,Jueves,9,0,0,1,alto,Taxi
Caribe,Aguacatala,17.4,Domingo,3,0,1,0,medio,Metro
Floresta,Poblado,5.5,Lunes,15,0,0,1,medio,Taxi
Madera,Prado,9.7,Miercoles,6,1,0,0,bajo,Bus
Alpujarra,Madera,1.8,Domingo,19,1,1,0,alto,Bus
Suramericana,Envigado,2.2,Martes,16,0,0,1,alto,Taxi
Alpujarra,Hospital,4.4,Miercoles,16,0,0,0,alto,Bus
Suramericana,Exposiciones,1.4,Viernes,20,0,0,1,bajo,Taxi
Industriales,Aguacatala,4.6,Jueves,8,1,0,1,alto,Taxi
Itagui,San Antonio,3.7,Martes,8,1,0,0,medio,Bus
Parque Berrio,Sabaneta,9.8,Miercoles,17,1,0,0,medio,Metro
Universidad,Estadio,3.5,Viernes,22,0,0,0,alto,Bus
Caribe,Hospital,11.8,Martes,13,1,0,1,alto,Taxi
Floresta,Madera,17.0,Miercoles,10,0,0,1,alto,Taxi
Bello,Acevedo,19.0,Martes,23,0,0,0,bajo,Bus
Bello,Cisneros,4.8,Jueves,22,0,0,0,medio,Bus
Bello,Universidad,18.3,Domingo,10,0,1,1,medio,Taxi
Suramericana,Tricentenario,13.1,Domingo,7,1,1,1,alto,Taxi
Envigado,Niquia,18.6,Viernes,7,1,0,0,medio,Bus
Aguacatala,San Javier,5.0,Miercoles,14,1,0,1,medio,Taxi
Parque Berrio,Alpujarra,1.9,Miercoles,21,0,0,1,bajo,Taxi
San Javier,Tricentenario,4.6,Jueves,0,0,0,1,bajo,Taxi
Poblado,Santa Lucia,17.4,Jueves,2,0,0,0,bajo,Bus
Ayura,Acevedo,16.2,Sabado,19,1,1,1,bajo,Taxi
Estadio,La Estrella,6.3,Viernes,20,0,0,1,bajo,Taxi
Alpujarra,Aguacatala,10.5,Sabado,17,1,1,1,bajo,Taxi
Madera,Poblado,12.6,Martes,16,0,0,0,medio,Metro
Industriales,Acevedo,6.7,Jueves,7,1,0,1,bajo,Taxi
Exposiciones,Prado,13.9,Lunes,11,1,0,0,bajo,Bus
Bello,Madera,3.2,Miercoles,6,1,0,1,medio,Taxi
Niquia,Floresta,8.0,Lunes,14,1,0,0,medio,Taxi
Poblado,Exposiciones,11.7,Domingo,21,0,1,0,medio,Bus
Itagui,La Estrella,9.8,Domingo,7,1,1,1,alto,Taxi
Alpujarra,Ayura,10.1,Martes,0,0,0,1,alto,Taxi
Poblado,Aguacatala,17.4,Jueves,0,0,0,1,alto,Taxi
Tricentenario,Aguacatala,12.1,Martes,19,1,0,1,bajo,Taxi
Floresta,Parque Berrio,2.0,Lunes,22,0,0,1,medio,Taxi
Hospital,Bello,20.0,Jueves,20,0,0,0,alto,Bus
Niquia,Acevedo,19.7,Lunes,8,1,0,1,alto,Taxi
Parque Berrio,Caribe,12.2,Sabado,6,1,1,1,bajo,Taxi
Alpujarra,Universidad,15.7,Lunes,21,0,0,0,medio,Taxi
Sabaneta,Aguacatala,19.4,Domingo,9,0,1,1,alto,Taxi
Cisneros,Poblado,15.7,Jueves,4,0,0,1,bajo,Taxi
Estadio,Industriales,5.1,Sabado,4,0,1,0,alto,Bus
Niquia,Envigado,19.0,Domingo,17,1,1,0,alto,Metro
Envigado,Sabaneta,3.0,Lunes,18,1,0,1,medio,Taxi
Cisneros,Suramericana,1.2,Jueves,2,0,0,1,bajo,Taxi
Santa Lucia,Estadio,5.1,Martes,22,0,0,0,alto,Bus
La Estrella,Prado,10.5,Sabado,8,1,1,0,bajo,Bus
San Javier,Universidad,12.4,Miercoles,17,1,0,1,alto,Taxi
Santa Lucia,San Antonio,13.1,Miercoles,12,1,0,1,alto,Taxi
Madera,Acevedo,6.5,Sabado,3,0,1,1,medio,Taxi
Santa Lucia,Madera,8.8,Miercoles,9,0,0,1,bajo,Taxi
Alpujarra,Estadio,14.8,Jueves,2,0,0,0,bajo,Bus
Sabaneta,Bello,5.1,Miercoles,9,0,0,0,bajo,Bus
Universidad,San Javier,8.1,Martes,18,1,0,1,bajo,Taxi
San Javier,Poblado,5.5,Domingo,19,1,1,1,medio,Taxi
Hospital,Tricentenario,19.0,Martes,4,0,0,0,medio,Taxi
Acevedo,Envigado,16.7,Lunes,5,0,0,0,alto,Taxi
Tricentenario,Poblado,11.3,Martes,11,1,0,0,medio,Bus
Envigado,Acevedo,3.9,Jueves,21,0,0,0,medio,Metro
Niquia,Suramericana,10.6,Miercoles,8,1,0,1,alto,Taxi
Parque Berrio,San Javier,14.4,Domingo,21,0,1,0,bajo,Bus
Floresta,Bello,11.3,Viernes,2,0,0,1,bajo,Taxi
Alpujarra,Industriales,19.5,Jueves,17,1,0,1,alto,Taxi
Ayura,Floresta,16.8,Sabado,11,1,1,0,alto,Metro
Itagui,Estadio,19.5,Viernes,5,0,0,0,medio,Bus
Ayura,Prado,6.0,Domingo,14,1,1,1,bajo,Taxi
Madera,Parque Berrio,11.2,Miercoles,1,0,0,1,medio,Taxi
Acevedo,Itagui,4.5,Jueves,9,0,0,0,medio,Taxi
San Javier,San Antonio,19.8,Sabado,9,0,1,1,alto,Taxi
Niquia,Acevedo,11.3,Lunes,1,0,0,1,bajo,Taxi
Bello,Cisneros,11.3,Martes,22,0,0,1,bajo,Taxi
Caribe,Acevedo,7.8,Lunes,11,1,0,1,alto,Taxi
Exposiciones,La Estrella,1.3,Miercoles,8,1,0,1,alto,Taxi
Floresta,Envigado,13.1,Sabado,6,1,1,1,medio,Taxi
Poblado,Industriales,3.9,Domingo,3,0,1,0,medio,Metro
Parque Berrio,San Antonio,17.3,Domingo,8,1,1,0,bajo,Bus
Floresta,Caribe,13.2,Miercoles,19,1,0,1,alto,Taxi
San Javier,Sabaneta,10.8,Jueves,5,0,0,1,bajo,Taxi
Aguacatala,Madera,17.0,Sabado,10,0,1,0,medio,Taxi
Hospital,La Estrella,8.7,Sabado,7,1,1,1,bajo,Taxi
Madera,Caribe,6.8,Domingo,4,0,1,0,bajo,Bus
Sabaneta,Ayura,8.6,Viernes,9,0,0,0,medio,Metro
San Javier,Aguacatala,11.3,Martes,22,0,0,1,medio,Taxi
Exposiciones,Sabaneta,9.5,Sabado,9,0,1,0,medio,Bus
Caribe,Industriales,19.4,Lunes,8,1,0,0,medio,Metro
Aguacatala,Hospital,3.8,Sabado,14,1,1,0,medio,Metro
Alpujarra,Universidad,15.9,Sabado,5,0,1,0,medio,Metro
Parque Berrio,San Javier,10.3,Miercoles,12,1,0,1,bajo,Taxi
Itagui,Parque Berrio,2.7,Lunes,2,0,0,0,bajo,Metro
San Antonio,Alpujarra,3.1,Jueves,17,1,0,0,medio,Bus
Hospital,Suramericana,1.9,Sabado,1,0,1,0,bajo,Caminando
Poblado,Suramericana,6.8,Viernes,15,0,0,0,alto,Taxi
La Estrella,Cisneros,14.7,Lunes,5,0,0,0,bajo,Bus
San Javier,Poblado,5.2,Jueves,15,0,0,1,alto,Taxi
Niquia,Ayura,3.3,Jueves,18,1,0,1,medio,Taxi
Bello,Ayura,7.1,Miercoles,0,0,0,0,bajo,Bus
Parque Berrio,Suramericana,14.5,Martes,7,1,0,1,alto,Taxi
Madera,Parque Berrio,14.1,Miercoles,6,1,0,1,bajo,Taxi
Parque Berrio,Hospital,12.1,Lunes,3,0,0,0,bajo,Bus
Universidad,Tricentenario,1.9,Jueves,3,0,0,0,alto,Bus
Envigado,Itagui,8.4,Sabado,5,0,1,1,alto,Taxi
Exposiciones,Universidad,3.9,Domingo,18,1,1,0,alto,Bus
Madera,Universidad,17.8,Miercoles,6,1,0,0,alto,Bus
La Estrella,San Antonio,6.4,Sabado,18,1,1,0,alto,Bus
Parque Berrio,San Javier,6.3,Domingo,8,1,1,1,alto,Taxi
Floresta,Caribe,19.0,Jueves,14,1,0,0,bajo,Bus
Aguacatala,La Estrella,19.1,Viernes,7,1,0,0,bajo,Bus
Aguacatala,Itagui,9.5,Miercoles,8,1,0,0,alto,Metro
Acevedo,Estadio,11.6,Lunes,4,0,0,1,bajo,Taxi
Suramericana,Tricentenario,17.6,Viernes,20,0,0,0,medio,Bus
Hospital,San Antonio,4.5,Miercoles,6,1,0,1,alto,Taxi
Itagui,Niquia,12.1,Martes,1,0,0,1,alto,Taxi
La Estrella,Niquia,11.4,Martes,22,0,0,0,bajo,Bus
Santa Lucia,Aguacatala,12.0,Lunes,5,0,0,1,bajo,Taxi
Acevedo,Parque Berrio,18.5,Martes,5,0,0,1,bajo,Taxi
Alpujarra,Madera,14.1,Miercoles,9,0,0,1,medio,Taxi
Floresta,San Javier,4.9,Sabado,6,1,1,0,bajo,Bus
Madera,La Estrella,4.8,Miercoles,21,0,0,0,alto,Bus
Exposiciones,Industriales,10.2,Miercoles,19,1,0,0,bajo,Bus
Envigado,Caribe,7.0,Viernes,21,0,0,1,alto,Taxi
Bello,Poblado,1.4,Sabado,11,1,1,0,alto,Bus
Bello,Prado,6.8,Martes,4,0,0,1,medio,Taxi
Prado,San Antonio,12.3,Viernes,19,1,0,1,medio,Taxi
Caribe,Universidad,6.8,Domingo,5,0,1,0,medio,Metro
Tricentenario,Madera,9.0,Viernes,11,1,0,1,medio,Taxi
Cisneros,Floresta,3.8,Sabado,15,0,1,0,alto,Metro
Cisneros,Alpujarra,5.9,Viernes,21,0,0,1,medio,Taxi
Tricentenario,Envigado,2.8,Sabado,5,0,1,0,alto,Metro
Tricentenario,San Antonio,12.3,Martes,17,1,0,0,alto,Bus
Industriales,Exposiciones,2.4,Domingo,13,1,1,0,medio,Taxi
Parque Berrio,Santa Lucia,5.9,Jueves,0,0,0,0,medio,Bus
Sabaneta,Estadio,19.8,Jueves,12,1,0,1,medio,Taxi
Caribe,Acevedo,19.4,Martes,15,0,0,0,bajo,Bus
Santa Lucia,Exposiciones,14.0,Domingo,12,1,1,1,medio,Taxi
Hospital,Envigado,17.2,Martes,10,0,0,0,medio,Metro
Universidad,Parque Berrio,7.4,Domingo,4,0,1,0,medio,Bus
Ayura,Itagui,15.7,Miercoles,11,1,0,1,bajo,Taxi
Bello,Universidad,17.9,Martes,19,1,0,1,medio,Taxi
Alpujarra,Itagui,13.2,Jueves,17,1,0,0,medio,Metro
Alpujarra,Itagui,3.7,Sabado,14,1,1,0,alto,Bus
Cisneros,Ayura,7.3,Sabado,13,1,1,0,bajo,Bus
Itagui,Cisneros,9.9,Viernes,20,0,0,0,alto,Metro
Aguacatala,La Estrella,3.9,Lunes,1,0,0,0,alto,Bus
Cisneros,Hospital,7.5,Domingo,20,0,1,1,medio,Taxi
San Javier,Madera,3.9,Martes,7,1,0,1,alto,Taxi
Prado,Suramericana,3.5,Lunes,3,0,0,0,alto,Taxi
San Antonio,Estadio,18.5,Viernes,5,0,0,1,bajo,Taxi
Industriales,Floresta,17.0,Viernes,12,1,0,0,medio,Metro
Hospital,La Estrella,14.6,Sabado,19,1,1,1,alto,Taxi
Industriales,Aguacatala,4.7,Jueves,5,0,0,0,alto,Metro
Caribe,Bello,9.9,Viernes,20,0,0,1,bajo,Taxi
Floresta,La Estrella,2.1,Sabado,23,0,1,1,medio,Taxi
Bello,Ayura,12.7,Viernes,1,0,0,0,medio,Taxi
Madera,Universidad,1.5,Lunes,2,0,0,1,alto,Taxi
Itagui,Bello,19.1,Miercoles,17,1,0,1,medio,Taxi
Bello,Madera,7.9,Lunes,19,1,0,0,medio,Bus
Universidad,Parque Berrio,4.9,Martes,3,0,0,0,bajo,Taxi
Alpujarra,Floresta,20.0,Viernes,4,0,0,1,medio,Taxi
Envigado,Acevedo,3.9,Martes,4,0,0,0,medio,Metro
Alpujarra,Ayura,8.7,Lunes,8,1,0,0,medio,Bus
Acevedo,Tricentenario,2.8,Sabado,7,1,1,0,medio,Bus
Itagui,San Antonio,15.4,Martes,4,0,0,1,alto,Taxi
Universidad,Cisneros,18.7,Viernes,12,1,0,0,bajo,Bus
Bello,Itagui,9.2,Miercoles,20,0,0,1,alto,Taxi
Itagui,Madera,6.6,Miercoles,12,1,0,1,bajo,Taxi
Poblado,Ayura,5.4,Jueves,11,1,0,1,medio,Taxi
Envigado,Industriales,16.5,Lunes,14,1,0,1,bajo,Taxi
Madera,Suramericana,19.3,Sabado,17,1,1,1,medio,Taxi
Universidad,Poblado,17.1,Domingo,20,0,1,1,alto,Taxi
Bello,Exposiciones,5.4,Miercoles,20,0,0,1,bajo,Taxi
San Antonio,Hospital,13.5,Viernes,10,0,0,1,bajo,Taxi
Aguacatala,Poblado,19.8,Miercoles,11,1,0,0,alto,Taxi
Madera,Santa Lucia,11.0,Jueves,13,1,0,0,bajo,Bus
Cisneros,Exposiciones,14.9,Sabado,7,1,1,1,alto,Taxi
La Estrella,Cisneros,13.4,Lunes,21,0,0,0,medio,Bus
Bello,Floresta,4.3,Sabado,11,1,1,1,alto,Taxi
Bello,Santa Lucia,5.1,Jueves,7,1,0,0,medio,Bus
Parque Berrio,Alpujarra,5.0,Miercoles,13,1,0,0,medio,Bus
Bello,Ayura,8.5,Miercoles,6,1,0,1,bajo,Taxi
Suramericana,Poblado,14.6,Sabado,17,1,1,1,medio,Taxi
Acevedo,La Estrella,4.5,Viernes,3,0,0,0,bajo,Metro
Santa Lucia,Industriales,4.1,Lunes,15,0,0,1,medio,Taxi
Tricentenario,Prado,17.1,Domingo,6,1,1,0,medio,Bus
San Javier,Estadio,11.6,Domingo,16,0,1,0,alto,Bus
San Antonio,Ayura,9.4,Domingo,9,0,1,1,bajo,Taxi
Floresta,Sabaneta,12.6,Lunes,3,0,0,0,bajo,Bus
Sabaneta,San Javier,12.3,Viernes,7,1,0,0,medio,Bus
Bello,Niquia,11.1,Sabado,19,1,1,0,alto,Metro
Industriales,Floresta,4.1,Jueves,12,1,0,1,alto,Taxi
Bello,Madera,9.2,Martes,12,1,0,1,bajo,Taxi
Estadio,Parque Berrio,2.2,Jueves,5,0,0,1,alto,Taxi
Prado,Industriales,17.6,Lunes,0,0,0,1,bajo,Taxi
Exposiciones,Poblado,11.2,Sabado,15,0,1,1,medio,Taxi
Ayura,Hospital,18.6,Sabado,18,1,1,1,alto,Taxi
Parque Berrio,Estadio,1.3,Lunes,13,1,0,1,alto,Taxi
Exposiciones,Alpujarra,11.2,Domingo,15,0,1,1,medio,Taxi
Alpujarra,Madera,7.8,Domingo,2,0,1,0,medio,Metro
Cisneros,Prado,13.3,Lunes,18,1,0,0,alto,Metro
La Estrella,San Antonio,6.4,Sabado,18,1,1,0,medio,Bus
Floresta,Parque Berrio,15.9,Miercoles,3,0,0,1,medio,Taxi
Itagui,Hospital,14.4,Miercoles,1,0,0,0,bajo,Bus
Suramericana,Exposiciones,14.1,Martes,16,0,0,0,bajo,Bus
Floresta,Cisneros,1.3,Sabado,15,0,1,0,alto,Caminando
Aguacatala,Cisneros,12.9,Lunes,18,1,0,1,bajo,Taxi
Sabaneta,Bello,5.5,Jueves,12,1,0,1,bajo,Taxi
Ayura,Tricentenario,5.4,Jueves,18,1,0,0,medio,Bus
Santa Lucia,Hospital,1.4,Sabado,16,0,1,0,medio,Bus
Ayura,Universidad,17.9,Miercoles,20,0,0,1,alto,Taxi
Cisneros,La Estrella,6.4,Sabado,12,1,1,0,medio,Bus
Parque Berrio,Tricentenario,7.6,Lunes,20,0,0,0,alto,Taxi
Suramericana,San Antonio,17.2,Viernes,7,1,0,1,medio,Taxi
San Antonio,San Javier,5.9,Miercoles,11,1,0,0,medio,Metro
Alpujarra,Envigado,12.1,Domingo,10,0,1,1,medio,Taxi
Bello,Alpujarra,9.4,Martes,21,0,0,0,alto,Metro
San Antonio,Sabaneta,15.1,Miercoles,0,0,0,1,bajo,Taxi
Poblado,Envigado,6.1,Jueves,9,0,0,0,medio,Bus
Cisneros,Ayura,3.9,Sabado,11,1,1,1,bajo,Taxi
Parque Berrio,La Estrella,8.1,Jueves,14,1,0,1,bajo,Taxi
Sabaneta,San Javier,16.3,Viernes,5,0,0,0,medio,Metro
Ayura,Suramericana,5.2,Viernes,22,0,0,0,medio,Metro
Alpujarra,Envigado,13.0,Miercoles,11,1,0,1,alto,Taxi
Universidad,Alpujarra,14.9,Martes,2,0,0,1,alto,Taxi
Universidad,Aguacatala,5.5,Sabado,11,1,1,1,medio,Taxi
Envigado,Alpujarra,16.5,Domingo,21,0,1,0,medio,Bus
La Estrella,Industriales,12.8,Martes,9,0,0,1,alto,Taxi
Poblado,Itagui,11.5,Miercoles,6,1,0,0,bajo,Bus
Prado,Hospital,5.8,Lunes,4,0,0,1,alto,Taxi
Estadio,Hospital,11.0,Sabado,14,1,1,1,alto,Taxi
Niquia,Madera,13.0,Miercoles,12,1,0,0,bajo,Bus
Floresta,Caribe,15.7,Domingo,12,1,1,0,alto,Taxi
Parque Berrio,Alpujarra,4.0,Lunes,22,0,0,0,alto,Metro
La Estrella,Alpujarra,6.8,Sabado,20,0,1,1,alto,Taxi
Cisneros,San Antonio,2.6,Viernes,20,0,0,0,alto,Bus
San Javier,Prado,14.5,Martes,9,0,0,1,alto,Taxi
Alpujarra,Madera,19.8,Viernes,5,0,0,1,bajo,Taxi
Envigado,Ayura,19.8,Miercoles,4,0,0,0,bajo,Bus
Madera,Poblado,6.8,Jueves,6,1,0,1,medio,Taxi
Poblado,Estadio,12.6,Domingo,17,1,1,0,alto,Metro
Santa Lucia,Cisneros,2.1,Domingo,9,0,1,0,bajo,Metro
Universidad,San Javier,4.6,Domingo,19,1,1,1,medio,Taxi
Sabaneta,Bello,17.3,Domingo,2,0,1,0,bajo,Bus
La Estrella,San Javier,15.1,Martes,20,0,0,0,bajo,Bus
Industriales,Ayura,4.3,Viernes,17,1,0,0,medio,Bus
Industriales,Suramericana,16.5,Martes,4,0,0,0,bajo,Bus
La Estrella,Estadio,11.9,Martes,5,0,0,0,alto,Metro
Envigado,Estadio,7.3,Domingo,6,1,1,1,alto,Taxi
Parque Berrio,San Antonio,12.0,Sabado,10,0,1,1,alto,Taxi
Hospital,Exposiciones,14.5,Viernes,2,0,0,0,alto,Bus
Poblado,Itagui,17.2,Jueves,14,1,0,1,bajo,Taxi
Acevedo,Prado,6.4,Jueves,3,0,0,1,bajo,Taxi
Bello,San Antonio,11.1,Miercoles,23,0,0,0,medio,Metro
Poblado,Exposiciones,5.8,Martes,2,0,0,0,medio,Bus
Itagui,Hospital,16.9,Jueves,19,1,0,0,bajo,Bus
Suramericana,San Javier,7.3,Domingo,3,0,1,1,bajo,Taxi
Industriales,Suramericana,5.3,Sabado,23,0,1,0,alto,Taxi
Suramericana,Floresta,15.4,Martes,12,1,0,1,alto,Taxi
Envigado,San Javier,10.9,Domingo,14,1,1,0,bajo,Bus
Ayura,Aguacatala,13.2,Jueves,9,0,0,1,medio,Taxi
Niquia,Floresta,7.4,Miercoles,4,0,0,1,bajo,Taxi
Poblado,Ayura,13.3,Miercoles,7,1,0,1,medio,Taxi
Acevedo,Itagui,3.2,Martes,23,0,0,1,bajo,Taxi
Universidad,Hospital,4.7,Sabado,3,0,1,0,medio,Metro
San Javier,Universidad,10.2,Miercoles,15,0,0,1,alto,Taxi
Suramericana,Aguacatala,19.4,Lunes,13,1,0,1,alto,Taxi
Niquia,Bello,1.6,Sabado,6,1,1,1,bajo,Taxi
Madera,Cisneros,16.2,Miercoles,22,0,0,1,bajo,Taxi
San Javier,Tricentenario,6.6,Jueves,17,1,0,1,bajo,Taxi
Prado,Acevedo,15.3,Martes,13,1,0,1,bajo,Taxi
Sabaneta,Floresta,7.5,Viernes,16,0,0,1,medio,Taxi
Aguacatala,Alpujarra,6.6,Miercoles,16,0,0,0,alto,Metro
Poblado,Ayura,5.9,Sabado,19,1,1,1,alto,Taxi
Hospital,Universidad,3.8,Martes,6,1,0,1,alto,Taxi
Itagui,Bello,19.1,Viernes,0,0,0,0,alto,Metro
Envigado,Aguacatala,12.9,Sabado,13,1,1,1,medio,Taxi
Universidad,Hospital,2.2,Viernes,22,0,0,1,alto,Taxi
San Javier,Universidad,13.5,Domingo,7,1,1,1,bajo,Taxi
Niquia,Prado,19.9,Martes,23,0,0,1,bajo,Taxi
Acevedo,Parque Berrio,13.9,Domingo,6,1,1,1,alto,Taxi
Estadio,La Estrella,1.6,Jueves,6,1,0,0,alto,Caminando
Bello,Santa Lucia,10.1,Jueves,14,1,0,1,medio,Taxi
Alpujarra,Exposiciones,14.9,Domingo,9,0,1,1,bajo,Taxi
Caribe,Niquia,12.4,Domingo,6,1,1,1,medio,Taxi
Santa Lucia,Alpujarra,18.6,Martes,16,0,0,0,alto,Taxi
Itagui,Acevedo,3.5,Lunes,5,0,0,0,bajo,Metro
Hospital,Caribe,14.4,Miercoles,12,1,0,0,alto,Metro
Exposiciones,Poblado,9.4,Jueves,16,0,0,0,alto,Metro
Envigado,Madera,7.7,Sabado,11,1,1,1,alto,Taxi
Estadio,Industriales,13.9,Miercoles,22,0,0,1,alto,Taxi
Santa Lucia,Estadio,3.2,Viernes,0,0,0,1,medio,Taxi
Floresta,Itagui,9.8,Sabado,1,0,1,1,alto,Taxi
Niquia,La Estrella,17.6,Martes,20,0,0,1,alto,Taxi
Parque Berrio,Poblado,6.8,Sabado,1,0,1,1,bajo,Taxi
Parque Berrio,Universidad,6.0,Jueves,3,0,0,0,medio,Bus
Parque Berrio,Sabaneta,17.4,Martes,18,1,0,0,bajo,Bus
Industriales,Estadio,17.7,Lunes,4,0,0,0,medio,Metro
Caribe,Cisneros,9.7,Miercoles,14,1,0,1,bajo,Taxi
Suramericana,La Estrella,5.2,Viernes,10,0,0,1,alto,Taxi
Exposiciones,Industriales,10.4,Viernes,18,1,0,0,bajo,Bus
Industriales,Madera,15.6,Sabado,7,1,1,1,medio,Taxi
Prado,Bello,9.2,Miercoles,6,1,0,1,medio,Taxi
Santa Lucia,Tricentenario,12.1,Miercoles,2,0,0,0,bajo,Bus
Parque Berrio,Universidad,1.6,Viernes,2,0,0,0,bajo,Caminando
Suramericana,Alpujarra,3.2,Domingo,1,0,1,0,bajo,Bus
Cisneros,Estadio,2.5,Viernes,13,1,0,1,medio,Taxi
Tricentenario,La Estrella,8.2,Miercoles,22,0,0,0,medio,Taxi
Estadio,San Antonio,16.6,Martes,0,0,0,1,bajo,Taxi
Parque Berrio,San Javier,12.3,Martes,11,1,0,0,alto,Metro
Tricentenario,San Antonio,18.6,Viernes,2,0,0,1,bajo,Taxi
La Estrella,Poblado,11.4,Domingo,4,0,1,0,medio,Taxi
Itagui,Cisneros,7.1,Lunes,17,1,0,1,bajo,Taxi
Envigado,Madera,18.1,Miercoles,12,1,0,0,bajo,Bus
Envigado,Cisneros,3.3,Domingo,12,1,1,0,alto,Metro
Itagui,Floresta,17.4,Lunes,12,1,0,1,alto,Taxi
Cisneros,Santa Lucia,16.8,Viernes,18,1,0,0,alto,Bus
Sabaneta,Madera,16.9,Miercoles,0,0,0,0,medio,Taxi
Caribe,Acevedo,14.7,Lunes,4,0,0,1,medio,Taxi
Acevedo,La Estrella,7.0,Viernes,4,0,0,1,alto,Taxi
Industriales,Madera,11.0,Martes,2,0,0,1,alto,Taxi
Tricentenario,Cisneros,14.1,Domingo,6,1,1,0,bajo,Bus
Caribe,Industriales,4.5,Jueves,1,0,0,0,bajo,Metro
Santa Lucia,Parque Berrio,7.5,Martes,23,0,0,0,bajo,Bus
Floresta,Acevedo,16.5,Viernes,2,0,0,0,bajo,Bus
Alpujarra,Universidad,16.3,Lunes,14,1,0,1,alto,Taxi
San Javier,Acevedo,18.2,Miercoles,4,0,0,0,bajo,Bus
Tricentenario,San Javier,15.4,Viernes,16,0,0,1,medio,Taxi
Madera,Universidad,2.0,Viernes,0,0,0,0,bajo,Bus
Madera,Ayura,8.5,Domingo,22,0,1,0,medio,Taxi
Exposiciones,Ayura,5.2,Viernes,12,1,0,1,medio,Taxi
Hospital,Estadio,17.6,Martes,6,1,0,1,medio,Taxi
Poblado,Tricentenario,11.0,Viernes,0,0,0,0,medio,Taxi
Santa Lucia,Sabaneta,8.9,Jueves,0,0,0,1,bajo,Taxi
San Antonio,Exposiciones,18.8,Miercoles,6,1,0,0,medio,Metro
Bello,Aguacatala,12.3,Martes,13,1,0,1,alto,Taxi
Prado,Tricentenario,13.8,Jueves,10,0,0,1,medio,Taxi
La Estrella,Tricentenario,12.4,Viernes,9,0,0,0,bajo,Bus
Poblado,Itagui,15.7,Sabado,12,1,1,1,bajo,Taxi
Alpujarra,Ayura,2.2,Jueves,16,0,0,0,bajo,Bus
Suramericana,Universidad,9.0,Jueves,4,0,0,0,bajo,Bus
Tricentenario,Acevedo,3.1,Lunes,20,0,0,0,bajo,Taxi
San Javier,Exposiciones,16.7,Viernes,4,0,0,0,alto,Metro
Itagui,Envigado,16.1,Domingo,21,0,1,1,bajo,Taxi
Envigado,Cisneros,9.6,Viernes,19,1,0,0,alto,Metro
Acevedo,Niquia,18.0,Viernes,11,1,0,1,alto,Taxi
Prado,Ayura,16.5,Martes,18,1,0,0,alto,Bus
Acevedo,Industriales,12.8,Viernes,15,0,0,1,bajo,Taxi
Santa Lucia,Floresta,1.7,Viernes,7,1,0,0,bajo,Caminando
La Estrella,Santa Lucia,12.0,Sabado,5,0,1,0,medio,Taxi
Industriales,Aguacatala,1.8,Jueves,6,1,0,0,bajo,Bus
Tricentenario,Madera,15.4,Sabado,18,1,1,0,medio,Bus
Suramericana,Santa Lucia,13.4,Jueves,18,1,0,1,medio,Taxi
Hospital,Sabaneta,7.5,Domingo,20,0,1,1,bajo,Taxi
Prado,Itagui,4.1,Miercoles,12,1,0,0,medio,Bus
Santa Lucia,Envigado,3.1,Miercoles,17,1,0,0,medio,Bus
Sabaneta,Acevedo,4.7,Miercoles,12,1,0,1,medio,Taxi
Niquia,Alpujarra,14.1,Domingo,9,0,1,0,alto,Taxi
Prado,Aguacatala,1.2,Jueves,6,1,0,1,alto,Taxi
Hospital,La Estrella,19.4,Viernes,7,1,0,1,bajo,Taxi
San Antonio,Sabaneta,9.3,Viernes,14,1,0,1,alto,Taxi
La Estrella,Floresta,2.3,Lunes,23,0,0,0,alto,Bus
Exposiciones,Tricentenario,10.1,Domingo,13,1,1,0,medio,Bus
Poblado,Cisneros,3.8,Domingo,11,1,1,0,medio,Metro
Floresta,La Estrella,1.6,Miercoles,21,0,0,0,bajo,Bus
Bello,Caribe,17.5,Lunes,12,1,0,0,medio,Bus
Caribe,Industriales,14.1,Martes,5,0,0,1,medio,Taxi
San Javier,Floresta,5.0,Domingo,23,0,1,1,bajo,Taxi
Suramericana,San Antonio,14.4,Jueves,20,0,0,0,medio,Taxi
Suramericana,Estadio,2.5,Jueves,22,0,0,1,bajo,Taxi
San Antonio,Itagui,6.8,Lunes,21,0,0,0,alto,Taxi
Suramericana,Ayura,4.9,Sabado,4,0,1,1,alto,Taxi
Santa Lucia,Aguacatala,1.8,Martes,22,0,0,1,medio,Taxi
Caribe,Universidad,14.1,Domingo,15,0,1,0,bajo,Bus
Caribe,Bello,5.6,Viernes,15,0,0,0,bajo,Bus
