origen,destino,tipo_transporte,distancia_km,dia_semana,hora,es_hora_pico,es_finde_semana,tiempo_viaje_min,costo,transferencias,fecha,clima
Bello,Aguacatala,Metro,14.8,Martes,3,0,0,13.3,3200,1,2025-06-10,Lluvia
Santa Lucia,Caribe,Caminando,14.2,Lunes,16,0,0,47.4,0,0,2025-07-07,Soleado
Universidad,Suramericana,Caminando,2.2,Lunes,23,0,0,7.5,0,1,2025-03-17,Tormenta
Caribe,San Javier,Metro,2.6,Lunes,8,1,0,4.0,3840,1,2025-06-09,Tormenta
Madera,Tricentenario,Metro,3.6,Viernes,23,0,0,3.9,3200,0,2025-04-04,Soleado
Universidad,San Javier,Taxi,5.3,Domingo,2,0,1,21.2,7740,0,2025-08-24,Nublado
Parque Berrio,Bello,Cable,4.9,Domingo,9,0,1,12.4,0,0,2025-12-28,Lluvia
Universidad,Caribe,Taxi,4.7,Martes,22,0,0,24.6,7260,0,2025-05-13,Tormenta
Cisneros,La Estrella,Bus,3.2,Domingo,18,1,1,6.1,3360,0,2025-01-19,Lluvia
Universidad,Alpujarra,Caminando,2.3,Viernes,23,0,0,9.1,0,0,2025-10-10,Soleado
Acevedo,Envigado,Bus,9.2,Lunes,4,0,0,15.1,2800,0,2025-09-01,Soleado
San Antonio,Floresta,Metro,3.2,Miercoles,11,1,0,5.0,3840,0,2025-11-19,Nublado
Alpujarra,Parque Berrio,Bus,11.5,Jueves,17,1,0,29.3,3360,0,2025-08-28,Tormenta
Floresta,Exposiciones,Cable,9.4,Lunes,8,1,0,48.9,0,1,2025-05-05,Nublado
Estadio,Ayura,Metro,14.4,Lunes,13,1,0,43.5,3840,0,2025-08-04,Nublado
Itagui,Suramericana,Bus,12.0,Sabado,21,0,1,11.6,2800,0,2025-03-08,Nublado
Suramericana,Alpujarra,Cable,1.0,Martes,5,0,0,2.9,0,0,2025-07-22,Soleado
Caribe,Prado,Bus,3.2,Martes,2,0,0,5.7,2800,1,2025-08-12,Nublado
Alpujarra,Acevedo,Cable,10.8,Jueves,21,0,0,45.2,0,0,2025-10-09,Nublado
Estadio,Acevedo,Cable,6.6,Viernes,10,0,0,21.2,0,0,2025-03-07,Tormenta
Sabaneta,Exposiciones,Caminando,10.4,Jueves,11,1,0,159.4,0,1,2025-02-06,Nublado
Alpujarra,Exposiciones,Taxi,13.8,Domingo,0,0,1,54.2,14540,1,2025-09-14,Nublado
Parque Berrio,Poblado,Metro,7.0,Lunes,12,1,0,9.9,3840,0,2025-06-23,Soleado
Prado,Poblado,Bus,7.5,Martes,12,1,0,15.8,3360,1,2025-03-25,Tormenta
Suramericana,Cisneros,Metro,9.0,Lunes,10,0,0,8.9,3200,0,2025-03-24,Tormenta
Industriales,Suramericana,Metro,11.4,Jueves,13,1,0,14.7,3840,0,2025-06-05,Lluvia
Estadio,Aguacatala,Taxi,12.0,Miercoles,11,1,0,116.1,15720,0,2025-10-01,Soleado
Tricentenario,Niquia,Taxi,3.8,Lunes,18,1,0,34.4,7848,0,2025-12-29,Soleado
Poblado,Parque Berrio,Metro,6.1,Martes,15,0,0,7.6,3200,1,2025-03-04,Lluvia
San Javier,Parque Berrio,Metro,5.1,Domingo,8,1,1,5.4,3840,1,2025-10-05,Soleado
Sabaneta,Acevedo,Taxi,4.5,Domingo,17,1,1,19.9,8520,0,2025-01-19,Tormenta
Industriales,Prado,Taxi,13.9,Sabado,22,0,1,60.9,14620,0,2025-08-23,Tormenta
Bello,Acevedo,Taxi,9.5,Jueves,1,0,0,55.2,11100,1,2025-07-10,Soleado
San Antonio,San Javier,Taxi,3.6,Martes,12,1,0,31.7,7656,0,2025-08-05,Soleado
Cisneros,Industriales,Metro,14.9,Miercoles,18,1,0,24.8,3840,0,2025-04-09,Soleado
Alpujarra,Sabaneta,Cable,11.5,Lunes,13,1,0,68.4,0,0,2025-04-21,Tormenta
Caribe,Santa Lucia,Taxi,3.9,Martes,0,0,0,23.2,6620,1,2025-05-20,Tormenta
Sabaneta,Cisneros,Taxi,1.3,Miercoles,7,1,0,9.4,5448,1,2025-02-19,Tormenta
Itagui,Industriales,Caminando,7.7,Miercoles,17,1,0,41.5,0,0,2025-06-18,Tormenta
Tricentenario,Aguacatala,Cable,10.4,Viernes,17,1,0,113.5,0,0,2025-04-18,Tormenta
Envigado,Alpujarra,Metro,5.3,Jueves,23,0,0,6.2,3200,0,2025-04-17,Nublado
Sabaneta,Itagui,Bus,6.8,Domingo,11,1,1,14.1,3360,1,2025-11-16,Tormenta
Hospital,Industriales,Caminando,2.4,Domingo,12,1,1,7.6,0,0,2025-03-09,Nublado
Caribe,Suramericana,Cable,11.5,Jueves,13,1,0,58.0,0,0,2025-10-09,Lluvia
La Estrella,Acevedo,Taxi,4.2,Lunes,17,1,0,31.6,8232,1,2025-09-15,Tormenta
Caribe,Universidad,Cable,11.7,Miercoles,0,0,0,44.0,0,1,2025-05-28,Tormenta
Industriales,Poblado,Bus,2.9,Sabado,0,0,1,3.8,2800,0,2025-11-22,Tormenta
Niquia,Alpujarra,Caminando,10.6,Jueves,5,0,0,94.7,0,0,2025-05-08,Tormenta
Envigado,Ayura,Bus,11.1,Lunes,14,1,0,25.5,3360,0,2025-03-24,Nublado
San Antonio,Tricentenario,Taxi,9.1,Lunes,0,0,0,46.8,10780,0,2025-02-03,Nublado
Suramericana,Caribe,Cable,12.3,Domingo,20,0,1,35.0,0,0,2025-09-14,Nublado
Poblado,Estadio,Metro,10.5,Sabado,23,0,1,7.4,3200,0,2025-01-04,Tormenta
Madera,Cisneros,Cable,11.0,Miercoles,22,0,0,40.5,0,0,2025-05-14,Tormenta
Aguacatala,Estadio,Metro,6.1,Viernes,12,1,0,10.6,3840,0,2025-05-30,Tormenta
Suramericana,Acevedo,Metro,11.1,Domingo,8,1,1,11.5,3840,1,2025-03-16,Nublado
Suramericana,Aguacatala,Bus,10.0,Viernes,3,0,0,14.0,2800,0,2025-05-16,Nublado
Estadio,Prado,Taxi,5.6,Domingo,22,0,1,20.1,7980,1,2025-06-01,Soleado
Estadio,Tricentenario,Bus,4.1,Jueves,9,0,0,6.7,2800,1,2025-09-25,Nublado
Itagui,San Javier,Taxi,10.4,Lunes,22,0,0,45.6,11820,1,2025-09-01,Lluvia
Exposiciones,Prado,Bus,3.1,Miercoles,6,1,0,6.2,3360,0,2025-01-15,Tormenta
Aguacatala,La Estrella,Bus,9.2,Jueves,20,0,0,16.1,2800,0,2025-06-26,Tormenta
La Estrella,Caribe,Caminando,13.6,Jueves,5,0,0,36.6,0,0,2025-09-04,Lluvia
Universidad,Prado,Bus,10.1,Viernes,19,1,0,24.7,3360,0,2025-05-23,Soleado
Cisneros,Floresta,Caminando,6.1,Domingo,23,0,1,11.6,0,0,2025-04-27,Soleado
Prado,Itagui,Caminando,7.3,Viernes,2,0,0,25.8,0,0,2025-10-03,Nublado
Santa Lucia,La Estrella,Bus,3.5,Domingo,22,0,1,5.3,2800,1,2025-04-27,Nublado
Floresta,Madera,Bus,3.9,Jueves,9,0,0,6.0,2800,0,2025-09-25,Soleado
Envigado,Cisneros,Metro,3.7,Viernes,20,0,0,3.2,3200,1,2025-06-13,Nublado
Sabaneta,Aguacatala,Taxi,13.1,Domingo,0,0,1,39.2,13980,0,2025-10-19,Nublado
Itagui,Cisneros,Caminando,11.6,Viernes,0,0,0,42.6,0,1,2025-08-22,Tormenta
Ayura,Parque Berrio,Taxi,5.8,Viernes,17,1,0,49.5,9768,0,2025-05-16,Soleado
Estadio,Caribe,Cable,7.9,Sabado,10,0,1,16.4,0,0,2025-01-04,Soleado
Poblado,San Antonio,Caminando,11.7,Viernes,6,1,0,53.0,0,0,2025-04-04,Tormenta
Acevedo,Santa Lucia,Taxi,5.5,Domingo,6,1,1,25.9,9480,1,2025-11-09,Nublado
Sabaneta,Santa Lucia,Bus,10.1,Lunes,16,0,0,20.1,2800,1,2025-06-16,Lluvia
Aguacatala,Parque Berrio,Taxi,11.2,Domingo,9,0,1,47.6,12460,0,2025-03-16,Tormenta
Estadio,Industriales,Metro,6.0,Sabado,1,0,1,5.1,3200,0,2025-07-26,Soleado
Cisneros,Santa Lucia,Bus,5.1,Jueves,21,0,0,8.4,2800,0,2025-04-17,Lluvia
Envigado,Itagui,Bus,13.0,Lunes,19,1,0,27.7,3360,0,2025-04-21,Tormenta
Floresta,Itagui,Cable,10.6,Viernes,21,0,0,44.3,0,1,2025-01-24,Tormenta
Bello,Tricentenario,Metro,8.5,Lunes,10,0,0,8.7,3200,0,2025-11-24,Soleado
San Antonio,Suramericana,Cable,9.0,Miercoles,4,0,0,32.4,0,0,2025-03-19,Lluvia
Envigado,Ayura,Taxi,11.8,Sabado,0,0,1,34.4,12940,0,2025-12-20,Lluvia
Alpujarra,Suramericana,Cable,7.6,Domingo,5,0,1,18.3,0,0,2025-04-20,Lluvia
Prado,La Estrella,Metro,7.0,Jueves,3,0,0,8.4,3200,0,2025-03-13,Soleado
Ayura,Alpujarra,Metro,14.4,Viernes,13,1,0,26.7,3840,0,2025-10-17,Lluvia
Itagui,San Antonio,Metro,14.6,Sabado,18,1,1,18.2,3840,0,2025-02-08,Soleado
Itagui,Poblado,Caminando,11.7,Sabado,6,1,1,41.6,0,0,2025-11-29,Nublado
La Estrella,San Antonio,Metro,7.4,Viernes,20,0,0,8.8,3200,0,2025-04-04,Soleado
Exposiciones,Sabaneta,Taxi,1.3,Sabado,19,1,1,6.2,5448,1,2025-01-04,Nublado
Itagui,Santa Lucia,Taxi,11.8,Martes,14,1,0,96.2,15528,0,2025-09-30,Nublado
Universidad,Suramericana,Bus,2.4,Miercoles,9,0,0,4.3,2800,1,2025-04-16,Nublado
Envigado,Alpujarra,Metro,10.2,Martes,10,0,0,9.2,3200,0,2025-06-17,Nublado
Universidad,Suramericana,Taxi,2.7,Martes,4,0,0,40.7,5660,0,2025-01-14,Nublado
Exposiciones,Bello,Cable,3.9,Miercoles,12,1,0,19.3,0,1,2025-08-13,Nublado
Ayura,Sabaneta,Caminando,2.7,Martes,5,0,0,9.4,0,0,2025-03-04,Lluvia
Industriales,Universidad,Bus,7.7,Domingo,16,0,1,9.5,2800,1,2025-02-16,Tormenta
Suramericana,Industriales,Cable,14.2,Viernes,11,1,0,86.5,0,0,2025-02-21,Lluvia
Hospital,Floresta,Metro,13.3,Domingo,20,0,1,7.5,3200,0,2025-11-30,Lluvia
Bello,Caribe,Bus,2.8,Martes,18,1,0,6.1,3360,0,2025-04-01,Soleado
Sabaneta,Cisneros,Bus,9.6,Viernes,9,0,0,19.4,2800,1,2025-12-05,Nublado
Floresta,Cisneros,Bus,1.4,Domingo,3,0,1,1.5,2800,0,2025-07-06,Lluvia
Sabaneta,San Antonio,Metro,13.4,Martes,10,0,0,10.9,3200,0,2025-01-14,Soleado
Envigado,Exposiciones,Caminando,2.4,Viernes,5,0,0,7.8,0,0,2025-09-26,Soleado
Acevedo,Ayura,Cable,2.9,Viernes,17,1,0,16.0,0,0,2025-08-01,Tormenta
Prado,Tricentenario,Taxi,14.4,Miercoles,17,1,0,122.5,18024,0,2025-12-03,Nublado
Tricentenario,Prado,Caminando,10.2,Sabado,4,0,1,27.9,0,1,2025-03-08,Soleado
Hospital,Prado,Taxi,5.6,Sabado,23,0,1,25.2,7980,0,2025-04-05,Lluvia
Estadio,Tricentenario,Taxi,9.1,Martes,11,1,0,208.1,12936,0,2025-08-05,Soleado
Suramericana,Universidad,Bus,12.7,Miercoles,4,0,0,19.5,2800,1,2025-01-08,Tormenta
Aguacatala,Alpujarra,Bus,7.3,Martes,18,1,0,16.6,3360,0,2025-11-18,Soleado
Floresta,Prado,Caminando,4.6,Domingo,10,0,1,12.9,0,0,2025-06-22,Soleado
San Javier,San Antonio,Caminando,7.0,Jueves,2,0,0,19.0,0,1,2025-05-15,Tormenta
Cisneros,Acevedo,Metro,2.8,Jueves,22,0,0,2.7,3200,0,2025-10-09,Soleado
Ayura,Caribe,Cable,12.8,Viernes,6,1,0,130.2,0,0,2025-09-19,Nublado
Itagui,Ayura,Caminando,8.6,Sabado,17,1,1,34.5,0,1,2025-01-25,Nublado
Acevedo,Santa Lucia,Bus,12.8,Sabado,20,0,1,17.6,2800,0,2025-11-22,Tormenta
Universidad,Parque Berrio,Metro,13.6,Viernes,9,0,0,17.5,3200,0,2025-07-25,Nublado
Floresta,Parque Berrio,Metro,3.9,Sabado,8,1,1,4.8,3840,1,2025-02-08,Tormenta
Tricentenario,Caribe,Cable,12.0,Lunes,7,1,0,67.4,0,1,2025-03-24,Lluvia
Madera,Prado,Taxi,11.2,Jueves,12,1,0,91.8,14952,1,2025-03-13,Nublado
San Javier,Prado,Taxi,8.3,Lunes,20,0,0,44.1,10140,0,2025-01-06,Nublado
San Javier,Poblado,Taxi,3.2,Miercoles,17,1,0,29.8,7272,0,2025-03-05,Lluvia
Bello,Industriales,Taxi,7.0,Jueves,20,0,0,30.9,9100,0,2025-02-27,Tormenta
Estadio,Parque Berrio,Bus,15.0,Jueves,3,0,0,27.5,2800,0,2025-09-25,Tormenta
Cisneros,Santa Lucia,Cable,13.1,Lunes,1,0,0,41.1,0,1,2025-08-04,Lluvia
La Estrella,Ayura,Taxi,14.8,Domingo,21,0,1,43.6,15340,0,2025-08-03,Nublado
Itagui,Aguacatala,Bus,2.5,Jueves,13,1,0,7.4,3360,0,2025-10-30,Tormenta
Sabaneta,Ayura,Cable,9.3,Miercoles,19,1,0,55.7,0,0,2025-01-22,Soleado
Estadio,Hospital,Taxi,12.4,Sabado,21,0,1,108.0,13420,0,2025-10-25,Tormenta
Itagui,Ayura,Metro,10.4,Jueves,20,0,0,8.5,3200,1,2025-07-24,Lluvia
Acevedo,San Antonio,Cable,12.9,Miercoles,23,0,0,39.9,0,0,2025-01-15,Nublado
Prado,Aguacatala,Metro,11.8,Lunes,14,1,0,15.6,3840,0,2025-06-16,Lluvia
Floresta,Exposiciones,Taxi,5.7,Domingo,15,0,1,22.1,8060,0,2025-03-30,Nublado
San Antonio,Parque Berrio,Metro,5.4,Domingo,20,0,1,4.0,3200,0,2025-02-16,Lluvia
Santa Lucia,Aguacatala,Taxi,11.6,Domingo,14,1,1,77.9,15336,1,2025-06-22,Lluvia
Ayura,Floresta,Caminando,6.6,Domingo,17,1,1,26.5,0,1,2025-06-01,Tormenta
Prado,Tricentenario,Taxi,2.9,Martes,11,1,0,21.6,6984,0,2025-09-30,Lluvia
Sabaneta,Itagui,Metro,12.6,Domingo,7,1,1,12.2,3840,0,2025-06-15,Soleado
Aguacatala,Hospital,Bus,10.1,Martes,7,1,0,40.0,3360,1,2025-05-06,Tormenta
Cisneros,Poblado,Cable,6.8,Domingo,17,1,1,29.1,0,0,2025-10-12,Tormenta
Floresta,Prado,Taxi,6.1,Jueves,13,1,0,57.8,10056,0,2025-05-15,Soleado
Santa Lucia,Tricentenario,Taxi,2.4,Viernes,7,1,0,22.7,6504,0,2025-12-26,Lluvia
Acevedo,Cisneros,Caminando,11.0,Domingo,23,0,1,28.8,0,0,2025-04-27,Tormenta
Prado,Sabaneta,Metro,8.0,Domingo,19,1,1,8.6,3840,1,2025-08-24,Tormenta
Envigado,San Javier,Metro,1.9,Viernes,15,0,0,1.9,3200,1,2025-06-27,Lluvia
Floresta,Niquia,Caminando,14.8,Martes,13,1,0,67.2,0,0,2025-09-09,Lluvia
San Antonio,Hospital,Caminando,11.7,Jueves,13,1,0,75.5,0,0,2025-09-18,Soleado
Santa Lucia,Suramericana,Taxi,9.6,Martes,3,0,0,51.1,11180,0,2025-10-28,Nublado
Sabaneta,Suramericana,Bus,11.2,Jueves,0,0,0,18.0,2800,0,2025-04-03,Tormenta
Suramericana,Industriales,Cable,12.9,Martes,15,0,0,38.3,0,1,2025-12-23,Tormenta
Prado,Ayura,Metro,3.8,Sabado,8,1,1,3.9,3840,1,2025-04-05,Tormenta
Estadio,Acevedo,Caminando,14.7,Lunes,0,0,0,40.6,0,1,2025-05-12,Soleado
Niquia,Alpujarra,Cable,13.0,Viernes,0,0,0,55.4,0,0,2025-06-06,Nublado
Envigado,Universidad,Taxi,9.4,Miercoles,21,0,0,51.1,11020,0,2025-02-19,Nublado
Ayura,Tricentenario,Cable,14.1,Jueves,19,1,0,87.7,0,1,2025-01-16,Lluvia
Parque Berrio,Acevedo,Taxi,13.6,Martes,5,0,0,71.3,14380,0,2025-12-16,Lluvia
Poblado,Santa Lucia,Caminando,10.4,Sabado,14,1,1,30.3,0,1,2025-07-19,Tormenta
Universidad,Cisneros,Cable,13.8,Miercoles,11,1,0,87.0,0,0,2025-01-22,Soleado
Ayura,Madera,Taxi,11.6,Sabado,18,1,1,68.3,15336,1,2025-09-27,Nublado
Parque Berrio,San Javier,Cable,2.2,Sabado,13,1,1,6.3,0,0,2025-07-26,Tormenta
Parque Berrio,Ayura,Taxi,8.4,Miercoles,22,0,0,34.5,10220,0,2025-12-17,Nublado
La Estrella,San Antonio,Metro,14.5,Miercoles,0,0,0,14.4,3200,0,2025-10-01,Tormenta
Floresta,Ayura,Caminando,10.5,Miercoles,16,0,0,28.8,0,0,2025-04-02,Nublado
Hospital,Floresta,Taxi,7.9,Viernes,22,0,0,42.9,9820,1,2025-02-07,Tormenta
Universidad,Floresta,Metro,10.2,Jueves,0,0,0,12.8,3200,1,2025-05-29,Tormenta
Cisneros,Hospital,Taxi,3.0,Viernes,1,0,0,13.8,5900,0,2025-07-25,Tormenta
San Javier,Itagui,Taxi,6.7,Martes,20,0,0,27.0,8860,0,2025-04-15,Nublado
Cisneros,Estadio,Cable,9.8,Sabado,19,1,1,34.2,0,0,2025-05-10,Nublado
Madera,San Javier,Metro,1.9,Sabado,5,0,1,1.4,3200,0,2025-03-01,Tormenta
Parque Berrio,Itagui,Taxi,2.5,Lunes,18,1,0,16.1,6600,0,2025-05-26,Soleado
Envigado,Aguacatala,Bus,7.6,Viernes,16,0,0,10.8,2800,0,2025-03-07,Nublado
Madera,Suramericana,Metro,7.1,Domingo,13,1,1,6.5,3840,1,2025-05-04,Nublado
Estadio,Universidad,Taxi,14.3,Jueves,18,1,0,104.1,17928,0,2025-01-23,Lluvia
Poblado,Universidad,Metro,14.3,Domingo,12,1,1,15.8,3840,0,2025-07-20,Lluvia
San Javier,Estadio,Cable,12.8,Lunes,14,1,0,70.5,0,1,2025-01-13,Lluvia
Bello,Tricentenario,Metro,9.7,Martes,16,0,0,8.6,3200,0,2025-07-29,Nublado
Acevedo,Santa Lucia,Bus,8.9,Sabado,12,1,1,18.8,3360,1,2025-01-04,Nublado
Estadio,La Estrella,Metro,1.3,Jueves,17,1,0,2.4,3840,0,2025-10-16,Tormenta
Parque Berrio,Santa Lucia,Caminando,10.6,Viernes,14,1,0,58.6,0,0,2025-07-18,Tormenta
Aguacatala,Tricentenario,Cable,3.0,Jueves,11,1,0,16.8,0,0,2025-10-02,Lluvia
Caribe,Exposiciones,Metro,1.6,Domingo,9,0,1,1.1,3200,0,2025-08-10,Tormenta
Tricentenario,San Javier,Taxi,13.4,Jueves,12,1,0,103.5,17064,0,2025-04-17,Tormenta
Alpujarra,San Antonio,Taxi,11.1,Domingo,12,1,1,52.6,14856,1,2025-12-07,Nublado
Floresta,San Javier,Caminando,6.2,Domingo,14,1,1,20.7,0,0,2025-07-06,Tormenta
Parque Berrio,Suramericana,Caminando,4.0,Jueves,1,0,0,14.3,0,0,2025-07-31,Tormenta
Caribe,Aguacatala,Metro,8.9,Lunes,6,1,0,11.8,3840,0,2025-12-22,Nublado
La Estrella,Exposiciones,Caminando,5.4,Sabado,4,0,1,11.6,0,0,2025-04-12,Tormenta
San Antonio,La Estrella,Caminando,10.5,Lunes,23,0,0,41.8,0,1,2025-09-29,Soleado
San Antonio,Madera,Taxi,14.4,Miercoles,6,1,0,103.0,18024,0,2025-07-02,Lluvia
Itagui,Poblado,Cable,5.1,Lunes,22,0,0,14.5,0,0,2025-06-23,Nublado
Caribe,Poblado,Metro,3.2,Martes,19,1,0,5.2,3840,0,2025-09-30,Nublado
Acevedo,Santa Lucia,Bus,2.9,Sabado,3,0,1,3.4,2800,1,2025-08-16,Soleado
Itagui,Floresta,Taxi,7.3,Jueves,18,1,0,44.3,11208,0,2025-08-14,Lluvia
San Antonio,Madera,Taxi,9.7,Miercoles,5,0,0,55.2,11260,1,2025-02-05,Nublado
La Estrella,San Antonio,Taxi,9.4,Miercoles,2,0,0,134.8,11020,0,2025-12-31,Nublado
Alpujarra,Prado,Bus,7.9,Sabado,8,1,1,17.3,3360,1,2025-09-20,Lluvia
Prado,Aguacatala,Cable,11.5,Domingo,1,0,1,31.7,0,1,2025-06-22,Soleado
Tricentenario,La Estrella,Metro,6.3,Martes,0,0,0,7.9,3200,1,2025-10-21,Lluvia
Santa Lucia,Exposiciones,Taxi,6.7,Lunes,16,0,0,32.5,8860,0,2025-07-07,Nublado
Aguacatala,Parque Berrio,Taxi,12.3,Miercoles,14,1,0,115.9,16008,0,2025-02-12,Soleado
Suramericana,Tricentenario,Metro,6.2,Lunes,2,0,0,5.4,3200,0,2025-05-05,Soleado
Niquia,Estadio,Metro,3.2,Martes,19,1,0,5.3,3840,0,2025-06-24,Lluvia
Suramericana,San Javier,Metro,10.9,Lunes,3,0,0,9.8,3200,1,2025-11-10,Soleado
Santa Lucia,Madera,Metro,3.9,Domingo,21,0,1,3.2,3200,0,2025-08-10,Nublado
Aguacatala,Universidad,Cable,7.6,Jueves,22,0,0,29.5,0,0,2025-11-06,Tormenta
Caribe,Envigado,Metro,4.7,Lunes,5,0,0,5.8,3200,1,2025-02-10,Soleado
Santa Lucia,Suramericana,Metro,11.6,Lunes,5,0,0,10.6,3200,0,2025-04-07,Lluvia
Sabaneta,Industriales,Caminando,7.0,Lunes,9,0,0,28.3,0,0,2025-11-24,Lluvia
Parque Berrio,Suramericana,Bus,7.9,Lunes,1,0,0,16.5,2800,0,2025-02-03,Tormenta
Madera,Santa Lucia,Cable,5.5,Martes,23,0,0,21.7,0,0,2025-01-07,Soleado
Itagui,Prado,Taxi,6.2,Martes,11,1,0,44.2,10152,0,2025-08-19,Nublado
Hospital,Sabaneta,Bus,6.7,Miercoles,22,0,0,13.8,2800,0,2025-01-22,Tormenta
Poblado,Aguacatala,Cable,6.9,Jueves,4,0,0,18.7,0,0,2025-03-20,Nublado
Exposiciones,Alpujarra,Metro,3.1,Lunes,21,0,0,3.9,3200,1,2025-08-11,Tormenta
Tricentenario,Parque Berrio,Taxi,6.5,Sabado,0,0,1,21.7,8700,0,2025-04-12,Nublado
Universidad,Ayura,Caminando,14.3,Sabado,13,1,1,44.0,0,1,2025-09-13,Soleado
Madera,Alpujarra,Cable,4.3,Sabado,9,0,1,12.8,0,0,2025-11-08,Soleado
Parque Berrio,San Javier,Bus,10.6,Lunes,20,0,0,17.9,2800,1,2025-06-23,Lluvia
San Antonio,Estadio,Taxi,8.9,Viernes,4,0,0,86.3,10620,1,2025-12-19,Lluvia
Santa Lucia,Hospital,Taxi,8.8,Viernes,15,0,0,47.9,10540,1,2025-11-21,Nublado
San Antonio,Cisneros,Caminando,12.4,Lunes,22,0,0,38.2,0,0,2025-04-28,Lluvia
Ayura,Acevedo,Cable,2.1,Lunes,19,1,0,11.0,0,0,2025-03-17,Lluvia
Madera,Aguacatala,Cable,6.1,Miercoles,8,1,0,36.3,0,1,2025-04-09,Soleado
San Antonio,Exposiciones,Caminando,12.0,Viernes,17,1,0,76.7,0,0,2025-09-05,Nublado
Cisneros,Suramericana,Bus,5.1,Domingo,19,1,1,7.4,3360,0,2025-11-02,Lluvia
Hospital,Cisneros,Cable,5.2,Martes,22,0,0,15.6,0,1,2025-08-05,Tormenta
Madera,Exposiciones,Cable,8.8,Lunes,14,1,0,48.3,0,1,2025-03-17,Lluvia
Poblado,Prado,Bus,5.0,Domingo,19,1,1,9.6,3360,1,2025-12-28,Soleado
San Antonio,Itagui,Cable,12.6,Martes,4,0,0,80.2,0,0,2025-07-08,Nublado
San Antonio,La Estrella,Metro,8.9,Miercoles,9,0,0,9.6,3200,1,2025-11-26,Nublado
Aguacatala,Madera,Metro,8.3,Jueves,4,0,0,10.5,3200,0,2025-03-13,Lluvia
San Antonio,Madera,Cable,6.6,Miercoles,2,0,0,18.3,0,0,2025-06-25,Nublado
Envigado,Madera,Bus,11.7,Lunes,5,0,0,24.1,2800,1,2025-08-18,Soleado
Bello,San Javier,Bus,4.1,Miercoles,1,0,0,6.3,2800,0,2025-09-03,Lluvia
San Antonio,Industriales,Cable,7.9,Viernes,16,0,0,29.9,0,0,2025-01-10,Soleado
Universidad,Sabaneta,Metro,1.1,Jueves,7,1,0,1.9,3840,0,2025-04-17,Nublado
Exposiciones,Universidad,Bus,4.7,Jueves,0,0,0,7.7,2800,0,2025-10-02,Lluvia
San Antonio,Universidad,Taxi,10.1,Miercoles,12,1,0,77.7,13896,0,2025-05-14,Tormenta
Universidad,Caribe,Metro,11.4,Miercoles,12,1,0,21.2,3840,0,2025-01-22,Lluvia
Cisneros,Santa Lucia,Bus,7.5,Viernes,9,0,0,14.0,2800,0,2025-10-31,Lluvia
Universidad,Envigado,Metro,12.6,Domingo,0,0,1,10.9,3200,0,2025-06-08,Tormenta
Floresta,San Antonio,Cable,13.9,Domingo,19,1,1,50.6,0,0,2025-07-20,Nublado
Madera,La Estrella,Metro,13.0,Miercoles,0,0,0,16.6,3200,0,2025-01-01,Tormenta
Floresta,Itagui,Bus,4.0,Miercoles,1,0,0,6.0,2800,0,2025-02-19,Soleado
Prado,Poblado,Metro,5.2,Lunes,1,0,0,4.8,3200,0,2025-06-02,Nublado
Acevedo,San Javier,Metro,2.6,Lunes,5,0,0,3.0,3200,0,2025-09-01,Lluvia
Prado,Niquia,Caminando,4.0,Miercoles,2,0,0,13.3,0,1,2025-09-03,Tormenta
Cisneros,Poblado,Cable,10.2,Lunes,0,0,0,43.5,0,0,2025-03-31,Tormenta
Universidad,Cisneros,Taxi,14.5,Lunes,21,0,0,64.8,15100,0,2025-01-13,Soleado
Itagui,Industriales,Caminando,11.0,Viernes,15,0,0,42.9,0,1,2025-12-26,Lluvia
Poblado,Ayura,Caminando,11.2,Martes,11,1,0,59.9,0,0,2025-03-25,Tormenta
Caribe,Sabaneta,Cable,11.7,Jueves,14,1,0,51.1,0,0,2025-07-10,Tormenta
Alpujarra,Poblado,Metro,5.7,Miercoles,8,1,0,8.4,3840,0,2025-11-05,Nublado
Bello,Alpujarra,Caminando,8.6,Lunes,4,0,0,34.9,0,0,2025-11-17,Nublado
Cisneros,Suramericana,Bus,12.5,Domingo,12,1,1,27.1,3360,0,2025-12-21,Soleado
Itagui,Niquia,Taxi,11.4,Jueves,21,0,0,65.1,12620,0,2025-10-09,Lluvia
Floresta,Cisneros,Taxi,4.1,Miercoles,12,1,0,30.0,8136,0,2025-10-08,Soleado
Hospital,San Javier,Cable,11.0,Viernes,22,0,0,45.7,0,0,2025-03-21,Tormenta
Tricentenario,Madera,Taxi,12.6,Domingo,12,1,1,70.8,16296,0,2025-05-04,Soleado
Niquia,Bello,Taxi,12.6,Lunes,6,1,0,107.8,16296,0,2025-03-03,Soleado
Industriales,Alpujarra,Cable,5.8,Lunes,22,0,0,19.1,0,0,2025-01-06,Tormenta
La Estrella,Sabaneta,Caminando,14.7,Miercoles,21,0,0,51.4,0,1,2025-01-22,Tormenta
Suramericana,Exposiciones,Caminando,14.3,Jueves,13,1,0,81.7,0,0,2025-02-20,Tormenta
Estadio,Madera,Cable,2.2,Sabado,17,1,1,8.9,0,0,2025-05-10,Tormenta
Exposiciones,Estadio,Taxi,1.5,Domingo,19,1,1,7.5,5640,0,2025-05-04,Nublado
Sabaneta,Industriales,Metro,9.3,Lunes,21,0,0,21.2,3200,1,2025-01-06,Nublado
