estacion,dia_semana,hora,es_hora_pico,es_finde_semana,demanda_pasajeros,tiempo_espera_min,transferencias_disponibles,ingresos_diarios,clima,num_tipos_transporte,tiene_metro,tiene_bus,tiene_taxi,tiene_cable,evento_especial
Floresta,Jueves,4,0,0,770,10.2,0,2203174.0,Nublado,3,1,0,1,0,0
Industriales,Viernes,14,1,0,1232,9.2,0,3910841.0,Soleado,1,0,0,0,0,0
Alpujarra,Lunes,3,0,0,2734,8.9,2,9119782.0,Nublado,4,1,0,1,1,1
Suramericana,Martes,9,0,0,181,28.0,2,2099455.0,Soleado,2,1,0,0,0,1
Envigado,Miercoles,2,0,0,515,10.6,2,1518331.0,Nublado,2,0,1,0,0,0
Universidad,Viernes,5,0,0,1171,10.6,4,3656899.0,Nublado,3,1,0,1,0,1
San Antonio,Miercoles,4,0,0,1909,5.1,0,6548028.0,Lluvia,4,1,0,1,1,0
Industriales,Viernes,0,0,0,552,11.0,3,1652509.0,Lluvia,3,0,1,0,1,0
Aguacatala,Viernes,3,0,0,961,8.9,2,3268457.0,Soleado,2,1,0,1,0,0
Ayura,Jueves,0,0,0,1087,8.7,0,3463308.0,Lluvia,4,1,1,1,0,0
Poblado,Domingo,16,0,1,4631,1.9,1,15715703.0,Tormenta,2,0,1,0,0,0
Caribe,Viernes,18,1,0,1964,18.5,0,5800033.0,Lluvia,1,0,0,1,0,0
Bello,Martes,6,1,0,1209,10.3,0,3418971.0,Lluvia,1,0,0,0,0,0
Itagui,Lunes,18,1,0,1251,8.8,0,3955242.0,Lluvia,2,0,0,0,1,0
Aguacatala,Jueves,19,1,0,1578,10.0,1,4503552.0,Nublado,2,0,1,0,0,0
Sabaneta,Domingo,21,0,1,538,10.2,3,1760691.0,Nublado,2,1,0,0,1,0
Tricentenario,Martes,18,1,0,793,3.3,4,2301925.0,Soleado,2,0,0,0,1,0
Madera,Lunes,14,1,0,2068,6.3,3,6660174.0,Nublado,2,0,0,1,0,0
Poblado,Domingo,18,1,1,5632,2.9,4,19158454.0,Soleado,4,1,1,0,1,0
Madera,Jueves,21,0,0,917,8.1,0,3143364.0,Tormenta,4,1,1,0,1,0
Suramericana,Jueves,12,1,0,1717,17.9,4,4925046.0,Lluvia,4,1,1,1,0,0
Niquia,Martes,23,0,0,3867,7.9,4,10847074.0,Nublado,3,1,0,1,1,1
La Estrella,Lunes,8,1,0,3247,8.8,2,11345859.0,Nublado,2,0,0,0,1,0
Envigado,Domingo,15,0,1,413,10.9,3,1369115.0,Tormenta,1,0,1,0,0,0
Acevedo,Domingo,16,0,1,2136,9.0,0,6221135.0,Nublado,1,1,0,0,0,1
Sabaneta,Lunes,2,0,0,569,4.4,0,1835776.0,Nublado,4,1,0,1,1,1
Poblado,Lunes,6,1,0,3484,12.7,4,11458579.0,Nublado,1,0,0,1,0,0
Caribe,Viernes,8,1,0,1212,9.5,1,3832853.0,Lluvia,1,1,0,0,0,0
Alpujarra,Jueves,7,1,0,6605,12.3,2,19303273.0,Lluvia,1,0,0,0,0,0
Acevedo,Sabado,8,1,1,4394,15.6,2,15259778.0,Lluvia,4,1,1,0,1,0
Exposiciones,Viernes,7,1,0,1855,18.7,4,5889544.0,Tormenta,3,1,1,1,0,0
Madera,Sabado,5,0,1,376,12.3,2,1100909.0,Nublado,2,0,1,0,1,0
Prado,Miercoles,7,1,0,1875,13.1,1,6272357.0,Soleado,1,0,0,0,1,0
Aguacatala,Jueves,19,1,0,1567,17.5,4,5340553.0,Nublado,3,0,1,1,1,0
Ayura,Martes,15,0,0,814,5.9,1,2539710.0,Tormenta,4,1,0,1,1,0
San Antonio,Sabado,19,1,1,2295,10.6,4,6977184.0,Lluvia,4,0,1,1,1,1
Prado,Martes,5,0,0,889,9.8,0,2937763.0,Tormenta,4,1,1,1,1,0
Caribe,Lunes,15,0,0,1169,9.2,4,3862835.0,Soleado,3,1,1,1,0,0
Bello,Lunes,8,1,0,2103,10.2,2,6270806.0,Soleado,3,1,1,1,0,0
San Javier,Viernes,6,1,0,2318,14.0,3,7747500.0,Lluvia,1,0,0,0,1,1
La Estrella,Domingo,5,0,1,1146,8.5,0,3272264.0,Lluvia,3,0,0,1,1,1
Prado,Sabado,11,1,1,865,4.7,1,2822855.0,Nublado,1,0,1,0,0,1
Acevedo,Martes,2,0,0,3746,2.4,3,11862788.0,Nublado,1,0,0,1,0,0
La Estrella,Sabado,9,0,1,941,7.0,1,2721272.0,Lluvia,1,1,0,0,0,0
Aguacatala,Jueves,17,1,0,1483,19.0,4,4336182.0,Nublado,4,0,1,1,1,0
Poblado,Sabado,11,1,1,5279,11.4,1,16051958.0,Tormenta,1,0,0,0,1,0
Niquia,Sabado,9,0,1,1015,4.0,4,3152564.0,Tormenta,4,1,1,0,1,0
Ayura,Lunes,22,0,0,591,9.4,4,1989404.0,Nublado,1,0,1,0,0,0
Acevedo,Domingo,14,1,1,3131,8.0,1,8875579.0,Lluvia,2,1,0,1,0,0
Santa Lucia,Miercoles,23,0,0,538,2.9,0,1692282.0,Soleado,3,0,1,1,1,0
Madera,Domingo,1,0,1,675,8.2,1,1980811.0,Tormenta,4,1,0,1,1,1
Hospital,Sabado,6,1,1,1301,19.2,3,3997174.0,Soleado,3,1,1,1,0,0
Aguacatala,Domingo,9,0,1,512,11.9,1,1782421.0,Soleado,4,1,1,1,1,1
Suramericana,Lunes,0,0,0,895,11.0,3,2937287.0,Nublado,1,0,1,0,0,1
Madera,Jueves,19,1,0,1952,3.6,1,6423895.0,Lluvia,2,0,1,0,1,0
Suramericana,Miercoles,23,0,0,321,9.9,2,1061572.0,Tormenta,1,0,0,0,1,0
Envigado,Martes,15,0,0,880,4.0,2,2663387.0,Tormenta,2,1,1,0,0,0
Cisneros,Jueves,17,1,0,1146,13.4,3,3797340.0,Soleado,3,0,1,0,1,1
Universidad,Viernes,21,0,0,1084,8.3,4,3250038.0,Soleado,3,1,0,1,0,0
Cisneros,Sabado,5,0,1,269,4.0,0,860722.0,Nublado,4,1,1,1,0,0
Niquia,Jueves,20,0,0,1827,7.3,0,5577188.0,Soleado,4,1,1,1,0,0
Cisneros,Jueves,2,0,0,831,2.9,1,2636067.0,Tormenta,2,0,1,0,0,0
Estadio,Domingo,18,1,1,1197,17.5,1,4015604.0,Lluvia,3,0,1,0,1,0
Alpujarra,Jueves,20,0,0,2824,8.9,4,8985794.0,Tormenta,3,0,1,1,1,0
Floresta,Sabado,9,0,1,448,12.2,0,1348585.0,Nublado,3,1,0,1,1,0
Bello,Domingo,11,1,1,551,6.8,2,1855631.0,Lluvia,4,1,1,1,0,1
Caribe,Domingo,22,0,1,629,2.2,4,1929195.0,Soleado,3,0,1,1,1,0
Floresta,Lunes,19,1,0,1792,9.1,2,5675386.0,Nublado,2,0,1,1,0,0
San Javier,Lunes,14,1,0,2151,15.9,1,6221837.0,Tormenta,1,0,0,0,0,0
Madera,Jueves,16,0,0,1092,10.0,1,3425217.0,Nublado,4,1,1,1,0,0
Prado,Sabado,10,0,1,291,6.8,2,853603.0,Nublado,1,0,0,1,0,0
Sabaneta,Viernes,19,1,0,1143,16.4,1,3748756.0,Soleado,1,1,0,0,0,0
Sabaneta,Lunes,9,0,0,651,9.9,0,1961842.0,Lluvia,3,1,1,0,0,1
Sabaneta,Viernes,22,0,0,685,8.6,4,1938850.0,Tormenta,3,1,1,1,0,0
Madera,Viernes,21,0,0,293,33.7,2,3330088.0,Lluvia,4,1,1,1,1,1
Sabaneta,Martes,2,0,0,503,7.7,3,1605818.0,Lluvia,1,0,1,0,0,0
Aguacatala,Lunes,23,0,0,318,5.9,2,969507.0,Soleado,3,1,1,1,0,0
Hospital,Miercoles,10,0,0,972,3.4,3,3075896.0,Nublado,2,0,1,0,1,1
Parque Berrio,Jueves,10,0,0,855,3.3,1,2741747.0,Nublado,2,0,1,1,0,1
Estadio,Domingo,20,0,1,325,8.0,0,951891.0,Tormenta,2,1,0,1,0,1
Parque Berrio,Viernes,23,0,0,136,32.6,0,1315897.0,Nublado,3,0,1,1,0,0
San Javier,Martes,11,1,0,2783,16.9,3,9179484.0,Nublado,4,1,0,1,1,0
Bello,Martes,0,0,0,722,4.4,1,2404580.0,Tormenta,4,0,1,1,1,0
Industriales,Domingo,1,0,1,615,9.0,4,1977633.0,Soleado,1,0,0,0,0,1
Poblado,Miercoles,7,1,0,2952,11.3,0,8657907.0,Tormenta,3,1,0,1,1,0
Sabaneta,Martes,22,0,0,774,11.5,3,2216201.0,Tormenta,2,0,1,0,0,1
San Antonio,Martes,0,0,0,3358,8.7,1,11476918.0,Soleado,3,1,1,0,1,1
La Estrella,Sabado,2,0,1,1262,3.7,4,3869828.0,Nublado,3,1,1,0,0,0
Estadio,Miercoles,1,0,0,615,5.4,3,1846320.0,Lluvia,2,1,1,0,0,0
Poblado,Viernes,15,0,0,3990,12.1,1,11777729.0,Nublado,4,1,0,1,1,0
Sabaneta,Martes,17,1,0,557,3.5,2,1573918.0,Soleado,3,1,0,1,1,1
Caribe,Lunes,21,0,0,925,9.5,4,2960553.0,Lluvia,4,1,0,1,1,0
Alpujarra,Lunes,2,0,0,3754,2.6,3,10864759.0,Nublado,3,0,0,1,1,0
Sabaneta,Jueves,3,0,0,795,10.3,4,2745711.0,Lluvia,3,0,1,1,1,0
Sabaneta,Jueves,15,0,0,804,11.3,4,2382176.0,Soleado,2,1,0,0,0,1
La Estrella,Domingo,23,0,1,1029,5.7,4,3461793.0,Soleado,2,0,0,1,0,0
Parque Berrio,Miercoles,17,1,0,1630,14.2,2,5015892.0,Nublado,1,0,1,0,0,0
Cisneros,Lunes,21,0,0,785,11.1,1,2462582.0,Soleado,3,0,0,1,1,0
Itagui,Domingo,10,0,1,345,5.7,2,981990.0,Tormenta,1,0,0,1,0,0
Itagui,Viernes,12,1,0,1416,15.8,2,4663860.0,Tormenta,1,0,0,1,0,0
Aguacatala,Viernes,11,1,0,2269,6.3,2,6631173.0,Soleado,1,0,1,0,0,1
Ayura,Lunes,15,0,0,494,5.8,3,1636478.0,Nublado,3,1,1,1,0,0
Floresta,Domingo,14,1,1,1064,7.9,0,3490917.0,Tormenta,1,0,0,1,0,0
Acevedo,Miercoles,21,0,0,1592,8.6,2,5169535.0,Lluvia,2,0,1,1,0,0
Estadio,Jueves,21,0,0,579,3.5,2,1667591.0,Lluvia,1,0,1,0,0,0
Prado,Viernes,22,0,0,887,4.7,0,2676934.0,Soleado,4,1,1,0,1,0
Exposiciones,Martes,2,0,0,701,3.9,4,2400149.0,Nublado,4,0,1,1,1,0
Estadio,Miercoles,18,1,0,753,18.1,3,2159667.0,Lluvia,4,1,1,1,1,0
Exposiciones,Viernes,22,0,0,332,29.4,2,3450849.0,Lluvia,3,1,0,0,1,0
Sabaneta,Miercoles,4,0,0,715,11.4,0,2165098.0,Tormenta,3,0,1,0,1,0
Sabaneta,Lunes,17,1,0,1341,8.4,4,4159519.0,Soleado,3,1,1,0,0,1
Acevedo,Viernes,19,1,0,5034,16.5,1,15180656.0,Tormenta,1,0,0,0,0,0
Aguacatala,Jueves,21,0,0,392,4.3,1,1341065.0,Nublado,1,0,1,0,0,1
Envigado,Viernes,12,1,0,801,17.4,2,2562554.0,Soleado,3,1,0,1,1,1
Tricentenario,Sabado,1,0,1,681,1.8,4,2298053.0,Tormenta,3,1,1,0,1,0
Santa Lucia,Martes,12,1,0,1320,13.8,3,3824500.0,Nublado,3,0,1,0,1,0
Niquia,Jueves,20,0,0,2089,10.2,3,6811286.0,Tormenta,2,1,1,0,0,1
Suramericana,Martes,19,1,0,1491,11.2,4,5030709.0,Soleado,2,0,1,0,1,1
Floresta,Viernes,22,0,0,720,12.6,4,2200953.0,Soleado,4,1,1,1,0,0
Floresta,Sabado,8,1,1,977,4.1,3,3166910.0,Lluvia,1,0,0,0,0,0
San Antonio,Miercoles,0,0,0,3359,7.8,3,10754765.0,Soleado,3,1,0,1,0,0
Floresta,Jueves,8,1,0,1639,5.5,0,5342196.0,Tormenta,1,0,0,1,0,0
Tricentenario,Martes,2,0,0,558,3.4,2,1669900.0,Nublado,1,0,0,0,0,0
San Javier,Domingo,11,1,1,1440,5.7,4,4900911.0,Nublado,1,0,1,0,0,1
Estadio,Jueves,12,1,0,1678,13.4,1,5377034.0,Soleado,1,0,0,1,0,0
Caribe,Martes,12,1,0,1056,18.6,4,3129522.0,Soleado,4,1,1,1,1,0
Suramericana,Lunes,12,1,0,1550,3.3,4,5031605.0,Lluvia,4,0,1,1,1,0
Prado,Martes,18,1,0,1456,15.3,4,4862091.0,Soleado,2,1,0,1,0,0
Niquia,Miercoles,3,0,0,997,15.5,2,9899265.0,Nublado,1,0,0,0,0,0
Santa Lucia,Lunes,2,0,0,684,9.5,4,2299772.0,Lluvia,1,0,1,0,0,0
Poblado,Viernes,2,0,0,2632,10.8,2,7843717.0,Lluvia,3,1,1,0,1,0
Prado,Viernes,5,0,0,371,7.6,1,1197295.0,Nublado,4,1,1,1,1,0
Poblado,Martes,3,0,0,539,6.6,2,6012631.0,Tormenta,1,1,0,0,0,0
Tricentenario,Jueves,10,0,0,888,1.8,3,2783611.0,Nublado,1,0,0,0,0,0
Exposiciones,Viernes,15,0,0,880,8.1,2,2669399.0,Lluvia,1,1,0,0,0,0
Madera,Domingo,9,0,1,319,13.1,1,959938.0,Tormenta,1,0,0,1,0,0
La Estrella,Miercoles,23,0,0,1086,2.2,0,3587946.0,Tormenta,4,1,1,1,1,1
Niquia,Domingo,10,0,1,2122,2.3,0,6256027.0,Soleado,4,1,1,1,0,0
Floresta,Viernes,15,0,0,782,12.4,4,2214672.0,Soleado,2,1,1,0,0,0
Cisneros,Miercoles,14,1,0,2073,16.4,0,5970086.0,Tormenta,2,1,1,0,0,0
Suramericana,Domingo,12,1,1,565,4.9,1,1884252.0,Nublado,3,1,1,0,0,1
Caribe,Martes,11,1,0,1214,12.4,1,3484153.0,Soleado,4,1,1,0,1,0
Caribe,Sabado,22,0,1,514,11.1,3,1688311.0,Nublado,3,0,1,0,1,0
Sabaneta,Domingo,1,0,1,201,28.9,2,2045230.0,Soleado,1,0,0,0,0,0
Estadio,Sabado,16,0,1,566,9.5,2,1605826.0,Nublado,2,0,0,0,1,0
San Javier,Jueves,1,0,0,1383,4.3,2,4196031.0,Nublado,4,1,0,1,1,0
Suramericana,Miercoles,15,0,0,372,12.3,3,1195941.0,Soleado,2,0,1,1,0,0
Hospital,Jueves,7,1,0,1903,17.7,0,5955806.0,Nublado,4,0,1,1,1,1
Alpujarra,Martes,14,1,0,5899,6.0,1,16649728.0,Tormenta,3,1,1,0,0,1
Caribe,Miercoles,7,1,0,1448,16.0,4,4972294.0,Tormenta,2,1,0,0,1,0
Itagui,Domingo,14,1,1,421,6.8,2,1306773.0,Tormenta,2,1,0,0,0,0
Bello,Viernes,23,0,0,735,8.0,3,2474599.0,Tormenta,1,0,0,0,1,0
Madera,Lunes,0,0,0,523,3.4,2,1551921.0,Lluvia,1,0,0,0,1,0
Santa Lucia,Domingo,18,1,1,717,14.5,1,2404030.0,Soleado,4,1,1,1,0,0
Industriales,Lunes,22,0,0,1106,9.8,4,3778752.0,Lluvia,1,0,0,0,0,0
Acevedo,Miercoles,11,1,0,2805,5.6,4,9238019.0,Nublado,2,0,1,1,0,0
La Estrella,Martes,23,0,0,1261,5.5,2,3975298.0,Lluvia,1,1,0,0,0,0
Poblado,Sabado,16,0,1,5668,9.7,4,19439063.0,Soleado,3,1,1,0,1,0
Exposiciones,Miercoles,9,0,0,411,3.7,0,1351351.0,Lluvia,2,1,0,0,0,1
San Javier,Domingo,4,0,1,945,10.4,0,2838838.0,Tormenta,2,0,0,1,0,0
La Estrella,Jueves,10,0,0,1885,11.7,3,5882340.0,Tormenta,3,1,1,1,0,0
Parque Berrio,Sabado,4,0,1,903,3.7,1,2978336.0,Nublado,2,0,1,0,0,0
Bello,Jueves,18,1,0,1224,5.7,4,4033073.0,Nublado,3,0,1,1,0,0
Acevedo,Lunes,12,1,0,4135,18.3,1,11590430.0,Nublado,3,0,1,1,1,1
San Antonio,Viernes,3,0,0,499,9.0,4,4795337.0,Soleado,2,0,0,1,1,0
Bello,Sabado,20,0,1,590,10.9,2,1732831.0,Lluvia,4,1,1,0,1,0
San Javier,Viernes,12,1,0,2822,8.9,2,8582955.0,Tormenta,4,1,1,0,1,1
Parque Berrio,Martes,23,0,0,1046,12.3,1,3540562.0,Tormenta,2,0,1,1,0,0
Madera,Jueves,12,1,0,521,18.1,3,1522583.0,Tormenta,2,0,1,0,0,0
Envigado,Martes,1,0,0,1154,8.6,3,3682987.0,Nublado,1,1,0,0,0,0
Parque Berrio,Lunes,20,0,0,427,9.4,2,1320288.0,Lluvia,2,1,0,0,0,1
Madera,Lunes,23,0,0,895,7.4,3,3050019.0,Lluvia,4,1,0,1,1,0
Itagui,Jueves,4,0,0,772,12.1,1,2354731.0,Lluvia,3,1,0,1,1,0
Ayura,Lunes,2,0,0,1084,9.1,0,3489541.0,Lluvia,3,0,1,1,0,0
Envigado,Viernes,11,1,0,490,7.4,3,1513314.0,Nublado,2,1,1,0,0,0
Cisneros,Lunes,17,1,0,1257,3.9,1,4332108.0,Lluvia,3,0,1,1,1,0
Santa Lucia,Jueves,0,0,0,527,3.3,1,1729421.0,Tormenta,2,1,1,0,0,0
Madera,Viernes,15,0,0,343,4.1,0,1150813.0,Soleado,1,0,0,0,1,0
Bello,Lunes,9,0,0,1072,2.9,0,3692042.0,Soleado,2,0,1,1,0,0
Tricentenario,Viernes,18,1,0,1042,11.1,4,3093985.0,Soleado,1,0,0,0,0,0
Santa Lucia,Miercoles,9,0,0,1072,8.1,0,3695144.0,Nublado,4,1,1,1,1,0
Exposiciones,Miercoles,6,1,0,1115,19.2,0,3485636.0,Soleado,4,1,0,1,1,0
Aguacatala,Sabado,12,1,1,819,19.1,3,2422693.0,Nublado,4,1,1,1,0,0
San Javier,Martes,21,0,0,1611,6.9,0,4645242.0,Soleado,1,0,1,0,0,0
Universidad,Lunes,6,1,0,686,9.8,3,2054545.0,Tormenta,3,0,1,1,1,1
Ayura,Viernes,4,0,0,410,3.2,3,1290718.0,Soleado,2,1,0,0,0,0
Aguacatala,Domingo,0,0,1,470,5.6,2,1520627.0,Tormenta,1,0,0,0,0,1
Universidad,Sabado,21,0,1,522,8.1,4,1661335.0,Soleado,1,0,0,0,1,1
Poblado,Miercoles,12,1,0,5133,5.6,2,17551216.0,Tormenta,4,0,1,1,1,0
Itagui,Viernes,15,0,0,787,8.4,1,2482733.0,Lluvia,4,0,1,1,1,0
Bello,Miercoles,18,1,0,826,8.5,4,2328353.0,Lluvia,3,1,1,0,1,0
Industriales,Domingo,1,0,1,315,5.5,0,1082741.0,Soleado,3,1,0,1,0,0
Bello,Domingo,21,0,1,576,6.7,0,1893410.0,Soleado,3,0,1,0,1,1
Acevedo,Sabado,21,0,1,1866,11.3,2,5442448.0,Nublado,4,1,1,1,1,0
Prado,Sabado,9,0,1,637,10.5,0,2103625.0,Tormenta,3,1,0,1,0,1
Universidad,Viernes,2,0,0,816,11.2,3,2663766.0,Nublado,4,0,1,1,1,0
La Estrella,Sabado,16,0,1,1287,9.5,3,3844984.0,Lluvia,4,1,0,1,1,1
Tricentenario,Domingo,4,0,1,734,5.5,0,2380912.0,Nublado,3,0,1,1,1,1
Hospital,Viernes,4,0,0,328,4.7,2,1024971.0,Lluvia,4,1,0,1,1,0
Niquia,Martes,8,1,0,3313,10.8,0,9404709.0,Tormenta,3,1,0,1,0,0
San Javier,Miercoles,2,0,0,1087,4.6,4,3602466.0,Soleado,3,1,0,0,1,0
San Antonio,Lunes,23,0,0,2466,12.7,1,7153853.0,Soleado,3,0,1,0,1,1
Envigado,Viernes,22,0,0,624,8.2,3,2045420.0,Lluvia,2,0,0,1,1,0
Niquia,Jueves,19,1,0,3179,15.9,1,9464163.0,Tormenta,3,1,1,0,1,0
Exposiciones,Domingo,9,0,1,830,5.3,1,2856133.0,Tormenta,4,1,1,1,0,1
Cisneros,Viernes,22,0,0,1197,12.5,0,4042365.0,Tormenta,1,0,0,1,0,0
Poblado,Lunes,0,0,0,2252,9.2,1,6310449.0,Nublado,3,1,0,1,1,0
Ayura,Sabado,4,0,1,868,7.1,1,2588789.0,Tormenta,3,1,1,1,0,0
Caribe,Lunes,12,1,0,633,18.2,4,2050059.0,Soleado,4,1,1,1,1,1
Sabaneta,Viernes,19,1,0,698,8.8,4,2011737.0,Nublado,4,1,0,1,1,0
Cisneros,Sabado,9,0,1,372,11.8,4,1097734.0,Tormenta,2,0,1,0,1,0
Niquia,Jueves,8,1,0,6538,8.8,3,18698792.0,Tormenta,3,0,1,1,1,1
Floresta,Domingo,8,1,1,364,18.3,3,1250616.0,Lluvia,1,1,0,0,0,1
Parque Berrio,Martes,21,0,0,435,13.1,4,1230523.0,Lluvia,2,0,0,0,1,1
Tricentenario,Sabado,10,0,1,257,5.5,1,809408.0,Lluvia,3,0,1,1,1,0
Ayura,Martes,13,1,0,1164,10.9,1,3711964.0,Nublado,4,1,1,1,0,0
Bello,Viernes,8,1,0,1771,4.6,3,5009369.0,Soleado,4,1,0,1,1,0
Madera,Martes,9,0,0,1154,3.8,4,3895673.0,Nublado,2,1,0,0,0,1
Madera,Miercoles,15,0,0,636,2.1,0,1956284.0,Nublado,1,0,0,1,0,0
Madera,Domingo,22,0,1,157,13.0,0,1594095.0,Lluvia,4,1,1,1,0,0
Suramericana,Miercoles,23,0,0,860,12.9,3,2463716.0,Soleado,2,1,0,0,1,0
Caribe,Viernes,12,1,0,1804,13.7,0,5428205.0,Soleado,3,0,1,0,1,0
Ayura,Domingo,15,0,1,448,8.4,3,1282694.0,Tormenta,3,0,1,0,1,0
Bello,Sabado,10,0,1,562,9.8,1,1939725.0,Tormenta,1,0,0,1,0,1
Madera,Martes,9,0,0,430,9.8,2,1457303.0,Soleado,3,1,0,1,0,0
Ayura,Martes,16,0,0,722,2.9,4,2432402.0,Soleado,1,0,0,0,0,0
Floresta,Viernes,14,1,0,1758,9.2,0,5434639.0,Tormenta,3,0,0,1,1,0
San Antonio,Domingo,6,1,1,696,41.5,0,7206697.0,Tormenta,1,0,1,0,0,1
Santa Lucia,Domingo,21,0,1,418,13.2,2,1372488.0,Soleado,4,1,0,1,1,0
Acevedo,Jueves,22,0,0,1609,4.2,1,5237002.0,Tormenta,2,1,0,1,0,0
Aguacatala,Martes,0,0,0,470,12.4,3,1633112.0,Tormenta,4,1,1,0,1,0
San Antonio,Domingo,3,0,1,2416,10.4,4,8001200.0,Tormenta,1,0,0,0,1,1
Ayura,Jueves,23,0,0,537,10.2,4,1510749.0,Tormenta,1,0,0,1,0,1
Acevedo,Jueves,19,1,0,6167,3.0,2,20402572.0,Tormenta,4,0,1,1,1,0
Parque Berrio,Miercoles,12,1,0,2272,13.6,2,7627515.0,Lluvia,2,0,1,0,0,0
San Javier,Viernes,4,0,0,1208,3.6,3,3467724.0,Soleado,4,1,1,1,0,0
Prado,Miercoles,21,0,0,478,11.5,4,1349097.0,Tormenta,4,1,1,1,0,0
San Antonio,Martes,1,0,0,2119,11.8,4,6829543.0,Tormenta,1,0,0,0,1,0
Acevedo,Domingo,19,1,1,3074,13.2,1,10567459.0,Soleado,3,0,0,1,1,0
La Estrella,Domingo,10,0,1,237,19.7,3,2647394.0,Soleado,4,1,0,1,1,0
Alpujarra,Viernes,11,1,0,3978,11.6,1,11522659.0,Nublado,4,1,1,1,1,0
Santa Lucia,Lunes,2,0,0,646,5.5,1,2005087.0,Soleado,1,0,1,0,0,0
Industriales,Viernes,21,0,0,1038,10.5,2,2912142.0,Nublado,2,0,0,0,1,1
Santa Lucia,Jueves,20,0,0,1094,4.1,2,3127742.0,Lluvia,4,1,1,1,1,0
Estadio,Sabado,5,0,1,251,8.1,2,745203.0,Lluvia,4,1,0,1,1,0
La Estrella,Miercoles,11,1,0,1684,18.5,3,5066437.0,Lluvia,4,1,1,1,0,0
Parque Berrio,Lunes,22,0,0,1031,6.2,1,2962742.0,Soleado,2,0,0,1,1,0
Santa Lucia,Miercoles,13,1,0,603,17.6,3,1779060.0,Tormenta,4,0,1,1,1,1
Santa Lucia,Lunes,23,0,0,1143,3.7,4,3302112.0,Nublado,2,1,0,0,0,1
Aguacatala,Viernes,23,0,0,872,6.1,0,2808817.0,Lluvia,1,0,0,1,0,0
Ayura,Jueves,3,0,0,183,28.7,2,1839542.0,Nublado,4,1,1,1,0,1
Niquia,Martes,17,1,0,3436,9.7,4,10365695.0,Nublado,3,0,0,1,1,0
Ayura,Sabado,14,1,1,1288,8.1,4,4205515.0,Soleado,2,0,0,1,1,1
Floresta,Viernes,20,0,0,1186,3.7,0,3795670.0,Soleado,3,1,0,1,0,0
Sabaneta,Domingo,18,1,1,1126,11.1,0,3247607.0,Nublado,2,1,0,1,0,0
Cisneros,Domingo,18,1,1,500,9.4,0,1572016.0,Soleado,3,0,1,0,1,0
Exposiciones,Lunes,2,0,0,401,8.1,2,1163230.0,Lluvia,1,0,1,0,0,1
San Javier,Viernes,1,0,0,1171,2.1,0,3523091.0,Lluvia,2,0,0,1,1,1
Cisneros,Lunes,1,0,0,545,10.6,4,1616221.0,Tormenta,4,1,1,1,0,1
Madera,Viernes,0,0,0,948,4.5,0,2833014.0,Nublado,1,0,1,0,0,0
Itagui,Lunes,14,1,0,2119,6.0,1,6486924.0,Tormenta,2,0,0,0,1,0
Niquia,Martes,19,1,0,3278,18.4,3,9805521.0,Soleado,4,0,1,1,1,0
Floresta,Miercoles,18,1,0,937,14.4,1,3099176.0,Lluvia,4,0,1,1,1,1
Prado,Martes,21,0,0,649,4.3,4,1966418.0,Soleado,2,1,0,0,1,0
San Javier,Domingo,13,1,1,2088,13.6,0,6633690.0,Tormenta,4,1,1,1,1,0
Cisneros,Martes,0,0,0,773,6.1,1,2404961.0,Lluvia,1,0,0,1,0,0
Madera,Martes,20,0,0,1127,10.2,1,3928816.0,Tormenta,1,0,0,1,0,0
Niquia,Viernes,20,0,0,1954,12.0,4,6155545.0,Soleado,2,0,1,0,0,0
Floresta,Lunes,4,0,0,883,11.8,4,2922932.0,Lluvia,1,0,0,0,0,1
Niquia,Jueves,20,0,0,2823,6.9,3,8445922.0,Nublado,4,1,0,1,1,0
Prado,Lunes,17,1,0,936,5.9,0,3197441.0,Nublado,2,1,0,0,1,0
Caribe,Miercoles,9,0,0,941,9.1,0,2950954.0,Tormenta,3,1,1,1,0,0
San Antonio,Martes,10,0,0,1798,10.9,4,5586333.0,Soleado,4,1,0,1,1,1
San Antonio,Lunes,2,0,0,1753,12.6,3,4975631.0,Soleado,4,1,0,1,1,0
Exposiciones,Viernes,3,0,0,538,11.9,4,1510394.0,Tormenta,4,1,1,0,1,0
Itagui,Miercoles,3,0,0,312,8.8,0,1003086.0,Lluvia,2,0,0,1,0,1
Aguacatala,Viernes,14,1,0,859,3.3,1,2592605.0,Tormenta,3,1,1,1,0,0
Sabaneta,Miercoles,9,0,0,308,7.9,1,874758.0,Lluvia,1,0,0,0,1,0
Universidad,Lunes,6,1,0,1034,10.6,3,3329308.0,Lluvia,3,0,1,1,0,0
Acevedo,Jueves,1,0,0,2398,12.6,1,7878040.0,Lluvia,2,0,1,0,1,1
Universidad,Jueves,5,0,0,671,1.9,2,1892899.0,Lluvia,3,0,1,1,1,0
Niquia,Sabado,6,1,1,2060,5.5,4,6122680.0,Soleado,2,1,0,1,0,0
Exposiciones,Martes,3,0,0,515,5.4,1,1575255.0,Soleado,2,0,0,0,1,0
Tricentenario,Sabado,6,1,1,873,12.7,1,3007231.0,Nublado,2,0,0,1,0,0
Hospital,Martes,20,0,0,1193,3.3,4,4149098.0,Soleado,2,1,0,0,1,0
Ayura,Viernes,20,0,0,810,7.9,1,2450474.0,Soleado,4,0,1,1,1,0
