perfil,viajes_mes,presupuesto,pref_horario,origen_frecuente,destino_frecuente,usa_metro,usa_taxi,distancia_promedio,tolerancia_transbordos,usa_horario_pico,eventos_mes
Turista,12,medio,Tarde,La Estrella,San Javier,1,0,5.5,3,0,8
Frecuente,23,bajo,Hora Pico,Parque Berrio,Exposiciones,1,0,9.2,0,1,1
Turista,5,medio,Tarde,Cisneros,Prado,1,0,8.4,2,0,6
Premium,20,alto,Flexible,Alpujarra,Cisneros,0,1,14.1,0,1,5
Frecuente,56,bajo,Hora Pico,San Antonio,Floresta,1,0,13.7,3,1,7
Ocasional,3,bajo,Mañana,Caribe,Estadio,1,0,11.7,2,1,0
Frecuente,40,bajo,Fuera de Hora Pico,Niquia,Itagui,1,0,4.2,3,1,4
Premium,15,alto,Flexible,Santa Lucia,Poblado,1,1,15.0,0,1,7
Premium,14,alto,Flexible,San Antonio,Prado,0,1,3.7,2,1,5
Premium,18,alto,Flexible,Niquia,Sabaneta,1,1,12.4,0,0,6
Turista,15,medio,Tarde,San Antonio,La Estrella,1,0,11.8,1,0,0
Ocasional,4,bajo,Tarde,Parque Berrio,Bello,0,0,7.2,0,1,7
Ocasional,2,bajo,Tarde,Industriales,Alpujarra,1,0,6.7,2,0,0
Ocasional,1,bajo,Tarde,Niquia,San Antonio,0,0,11.6,2,1,4
Turista,9,medio,Tarde,Ayura,Cisneros,1,0,5.5,3,1,5
Turista,3,medio,Tarde,Parque Berrio,Itagui,1,0,10.0,1,1,6
Turista,5,medio,Tarde,San Antonio,Aguacatala,1,0,8.1,0,1,8
Ocasional,8,bajo,Noche,Floresta,Madera,1,0,4.1,0,0,1
Turista,8,medio,Tarde,Caribe,Santa Lucia,1,0,10.9,0,1,1
Premium,23,alto,Flexible,Parque Berrio,Hospital,0,1,4.3,0,1,1
Turista,7,medio,Tarde,Madera,San Javier,1,0,8.2,2,1,7
Turista,6,medio,Tarde,Cisneros,Estadio,1,0,13.0,0,1,3
Frecuente,35,bajo,Hora Pico,Itagui,Poblado,1,0,7.8,0,0,4
Turista,4,medio,Tarde,Industriales,Envigado,1,0,6.0,2,0,6
Premium,16,alto,Flexible,San Javier,Parque Berrio,1,1,4.0,1,0,1
Ocasional,4,bajo,Tarde,Prado,Estadio,0,0,11.2,2,1,2
Turista,14,medio,Tarde,Santa Lucia,San Antonio,1,0,14.7,0,1,4
Premium,21,alto,Flexible,Niquia,Sabaneta,0,1,10.9,3,1,8
Premium,17,alto,Flexible,La Estrella,Estadio,0,1,6.5,3,1,7
Frecuente,50,bajo,Fuera de Hora Pico,San Javier,La Estrella,1,0,11.1,3,1,4
Turista,6,medio,Tarde,Poblado,Envigado,1,0,3.5,1,0,2
Premium,8,alto,Flexible,Acevedo,Poblado,1,1,4.5,3,1,6
Turista,9,medio,Tarde,Industriales,Floresta,1,0,14.4,0,1,1
Ocasional,4,bajo,Tarde,Exposiciones,Prado,0,0,4.5,1,0,6
Turista,3,medio,Tarde,Ayura,Cisneros,1,0,7.3,3,1,1
Ocasional,6,bajo,Noche,Floresta,Cisneros,1,0,5.6,3,1,4
Premium,19,alto,Flexible,Cisneros,Acevedo,1,1,6.3,2,1,7
Ocasional,3,bajo,Tarde,Santa Lucia,Madera,0,0,7.3,2,0,4
Ocasional,6,bajo,Tarde,Tricentenario,Exposiciones,1,0,7.7,1,1,4
Premium,16,alto,Flexible,Santa Lucia,San Javier,1,1,10.9,3,1,6
Frecuente,35,bajo,Fuera de Hora Pico,Santa Lucia,Prado,1,0,14.7,0,1,5
Ocasional,6,bajo,Mañana,San Javier,Poblado,0,0,4.9,3,0,2
Turista,9,medio,Tarde,Itagui,San Antonio,1,0,11.1,3,0,8
Premium,10,alto,Flexible,Niquia,Prado,1,1,7.9,3,1,8
Ocasional,3,bajo,Tarde,San Javier,Parque Berrio,1,0,6.2,1,1,4
Frecuente,43,bajo,Hora Pico,Bello,Ayura,1,0,10.2,3,1,6
Premium,12,alto,Flexible,Estadio,Poblado,1,1,11.2,2,0,7
Ocasional,7,bajo,Tarde,Itagui,Acevedo,0,0,7.7,3,1,0
Turista,15,medio,Tarde,Caribe,Alpujarra,1,0,10.3,2,0,6
Ocasional,6,bajo,Tarde,Ayura,Bello,1,0,8.8,1,0,7
Ocasional,1,bajo,Noche,Universidad,Hospital,0,0,12.1,2,1,0
Frecuente,33,bajo,Fuera de Hora Pico,Parque Berrio,Hospital,1,0,5.1,3,1,2
Premium,24,alto,Flexible,Envigado,Niquia,0,1,4.1,3,1,5
Ocasional,2,bajo,Noche,Itagui,Parque Berrio,0,0,8.0,2,0,1
Ocasional,3,bajo,Noche,Sabaneta,Acevedo,1,0,6.2,2,1,1
Ocasional,3,bajo,Mañana,Cisneros,Hospital,0,0,9.8,0,1,6
Turista,13,medio,Tarde,Industriales,San Javier,1,0,10.0,1,0,4
Frecuente,55,bajo,Hora Pico,Floresta,Aguacatala,1,0,7.3,2,1,8
Premium,17,alto,Flexible,Floresta,Aguacatala,1,1,5.9,2,0,3
Ocasional,3,bajo,Tarde,Suramericana,Tricentenario,1,0,11.2,0,1,3
Ocasional,7,bajo,Mañana,Bello,Alpujarra,1,0,7.2,1,1,2
Premium,25,alto,Flexible,Santa Lucia,Poblado,0,1,4.7,3,1,7
Frecuente,52,bajo,Fuera de Hora Pico,Sabaneta,Madera,1,0,12.6,3,1,8
Turista,10,medio,Tarde,Prado,Ayura,1,0,12.5,3,1,1
Ocasional,5,bajo,Mañana,Exposiciones,Floresta,1,0,13.5,1,1,6
Premium,10,alto,Flexible,Floresta,San Antonio,0,1,8.8,0,1,0
Frecuente,21,bajo,Fuera de Hora Pico,Niquia,Parque Berrio,1,0,3.9,0,1,1
Ocasional,3,bajo,Noche,Hospital,Cisneros,1,0,11.3,3,0,2
Turista,8,medio,Tarde,Poblado,Envigado,1,0,14.1,2,1,3
Premium,15,alto,Flexible,Itagui,Universidad,0,1,7.4,0,1,0
Ocasional,6,bajo,Noche,Alpujarra,Industriales,1,0,8.3,1,1,1
Frecuente,50,bajo,Hora Pico,Santa Lucia,Bello,1,0,11.7,0,1,7
Premium,23,alto,Flexible,Poblado,Alpujarra,0,1,8.0,0,1,3
Ocasional,3,bajo,Mañana,Universidad,Aguacatala,1,0,5.6,3,1,0
Ocasional,1,bajo,Mañana,Itagui,Caribe,1,0,8.0,0,1,8
Frecuente,30,bajo,Fuera de Hora Pico,Niquia,Bello,1,0,8.0,1,1,5
Premium,23,alto,Flexible,Bello,Universidad,1,1,14.0,2,1,4
Frecuente,41,bajo,Hora Pico,Cisneros,Prado,1,0,12.9,0,0,8
Ocasional,1,bajo,Tarde,Bello,Acevedo,1,0,13.7,1,1,1
Premium,24,alto,Flexible,Cisneros,Tricentenario,0,1,8.8,1,1,4
Turista,10,medio,Tarde,Sabaneta,Industriales,1,0,8.0,2,0,8
Premium,17,alto,Flexible,Aguacatala,Alpujarra,1,1,3.1,2,0,4
Turista,7,medio,Tarde,Estadio,Bello,1,0,7.6,2,1,8
Turista,15,medio,Tarde,Acevedo,Suramericana,1,0,11.7,3,1,4
Ocasional,3,bajo,Tarde,Acevedo,Cisneros,1,0,4.4,0,1,5
Ocasional,2,bajo,Noche,San Javier,Cisneros,1,0,13.4,2,1,0
Frecuente,45,bajo,Fuera de Hora Pico,Floresta,Envigado,1,0,7.6,2,1,4
Premium,14,alto,Flexible,Prado,Estadio,1,1,4.6,2,1,6
Turista,15,medio,Tarde,La Estrella,Niquia,1,0,9.4,0,1,0
Ocasional,6,bajo,Mañana,Poblado,Santa Lucia,0,0,9.1,3,1,2
Turista,11,medio,Tarde,Prado,La Estrella,1,0,14.4,3,0,2
Premium,7,alto,Flexible,Parque Berrio,Tricentenario,0,1,13.5,0,1,6
Ocasional,8,bajo,Noche,Bello,Poblado,0,0,9.4,2,0,5
Turista,5,medio,Tarde,San Javier,Hospital,1,0,10.2,3,1,1
Ocasional,6,bajo,Tarde,Poblado,Cisneros,0,0,4.0,0,0,7
Turista,3,medio,Tarde,Madera,Floresta,1,0,13.0,3,1,1
Ocasional,1,bajo,Tarde,Envigado,Prado,1,0,5.1,2,1,5
Turista,9,medio,Tarde,Acevedo,Envigado,1,0,10.5,3,1,0
Turista,9,medio,Tarde,Aguacatala,Tricentenario,1,0,11.3,1,1,2
Frecuente,39,bajo,Hora Pico,Prado,Universidad,1,0,3.1,1,0,2
Turista,5,medio,Tarde,Floresta,Alpujarra,1,0,10.5,1,0,7
Premium,6,alto,Flexible,San Javier,Suramericana,0,1,3.5,2,1,7
Turista,12,medio,Tarde,Floresta,Envigado,1,0,14.9,0,0,2
Premium,17,alto,Flexible,Envigado,Universidad,0,1,8.0,0,1,8
Ocasional,3,bajo,Tarde,Cisneros,San Javier,1,0,3.5,0,1,2
Ocasional,7,bajo,Noche,Poblado,Bello,0,0,5.7,2,1,5
Ocasional,6,bajo,Mañana,Poblado,Exposiciones,1,0,12.0,3,1,2
Turista,15,medio,Tarde,Alpujarra,Itagui,1,0,13.3,1,1,0
Frecuente,43,bajo,Hora Pico,Exposiciones,Envigado,1,0,8.9,1,1,2
Frecuente,40,bajo,Fuera de Hora Pico,Alpujarra,Bello,1,0,12.7,0,1,4
Ocasional,8,bajo,Noche,Cisneros,Universidad,1,0,12.9,3,1,8
Frecuente,60,bajo,Fuera de Hora Pico,Acevedo,Suramericana,1,0,3.7,0,1,6
Turista,8,medio,Tarde,Envigado,Parque Berrio,1,0,9.2,1,1,3
Ocasional,1,bajo,Tarde,Bello,Prado,1,0,11.4,2,1,6
Ocasional,8,bajo,Mañana,Prado,Sabaneta,1,0,13.3,1,1,0
Premium,14,alto,Flexible,La Estrella,San Antonio,0,1,12.0,1,0,7
Ocasional,3,bajo,Tarde,Caribe,Aguacatala,0,0,8.1,2,0,3
Ocasional,1,bajo,Tarde,Acevedo,La Estrella,0,0,9.5,2,1,5
Premium,20,alto,Flexible,Envigado,Parque Berrio,0,1,5.2,2,0,2
Frecuente,52,bajo,Fuera de Hora Pico,Suramericana,Niquia,1,0,8.3,2,1,2
Ocasional,6,bajo,Noche,Envigado,Alpujarra,0,0,3.9,2,1,1
Frecuente,41,bajo,Hora Pico,Prado,Aguacatala,1,0,4.0,3,1,7
Premium,5,alto,Flexible,Universidad,La Estrella,0,1,12.0,0,1,4
Ocasional,1,bajo,Tarde,Cisneros,Parque Berrio,0,0,4.2,0,1,0
Turista,7,medio,Tarde,La Estrella,Bello,1,0,14.7,2,0,6
Frecuente,33,bajo,Hora Pico,Aguacatala,Industriales,1,0,11.4,1,1,6
Premium,19,alto,Flexible,Cisneros,Sabaneta,1,1,5.4,1,1,2
Frecuente,58,bajo,Hora Pico,Exposiciones,Bello,1,0,7.4,1,1,0
Turista,4,medio,Tarde,Tricentenario,San Antonio,1,0,13.0,0,0,3
Premium,24,alto,Flexible,La Estrella,San Antonio,0,1,9.4,0,1,6
Turista,12,medio,Tarde,Parque Berrio,Universidad,1,0,8.2,1,1,5
Frecuente,25,bajo,Fuera de Hora Pico,Floresta,San Antonio,1,0,11.3,2,1,6
Ocasional,6,bajo,Mañana,Acevedo,San Antonio,1,0,7.6,1,1,1
Turista,12,medio,Tarde,Envigado,Sabaneta,1,0,8.7,3,1,3
Ocasional,3,bajo,Mañana,Prado,Tricentenario,0,0,12.7,1,0,3
Frecuente,26,bajo,Fuera de Hora Pico,Niquia,Suramericana,1,0,4.7,0,1,2
Turista,3,medio,Tarde,Prado,Niquia,1,0,3.3,2,0,8
Turista,9,medio,Tarde,Industriales,Envigado,1,0,6.6,0,1,2
Turista,3,medio,Tarde,Floresta,Caribe,1,0,8.6,3,1,6
Turista,6,medio,Tarde,Industriales,Envigado,1,0,3.3,1,1,7
Frecuente,53,bajo,Hora Pico,Cisneros,Envigado,1,0,12.3,1,0,0
Turista,3,medio,Tarde,Madera,La Estrella,1,0,12.6,1,0,7
Ocasional,8,bajo,Tarde,Ayura,Floresta,0,0,14.1,1,0,8
Turista,6,medio,Tarde,Exposiciones,Aguacatala,1,0,9.3,1,1,1
Turista,11,medio,Tarde,Itagui,Exposiciones,1,0,3.1,3,1,6
Ocasional,3,bajo,Tarde,Parque Berrio,Estadio,0,0,13.4,2,0,4
Turista,8,medio,Tarde,Ayura,Niquia,1,0,8.1,0,1,2
Frecuente,60,bajo,Fuera de Hora Pico,Acevedo,Santa Lucia,1,0,10.3,3,1,7
Ocasional,4,bajo,Mañana,Envigado,Bello,0,0,9.4,2,1,0
Premium,13,alto,Flexible,Envigado,Sabaneta,1,1,3.5,2,1,8
Frecuente,32,bajo,Fuera de Hora Pico,Industriales,Cisneros,1,0,6.8,3,1,7
Frecuente,44,bajo,Hora Pico,Caribe,Acevedo,1,0,5.6,0,1,6
Turista,7,medio,Tarde,Bello,Alpujarra,1,0,14.1,3,1,4
Frecuente,60,bajo,Hora Pico,Ayura,Aguacatala,1,0,11.7,0,1,3
Turista,11,medio,Tarde,Caribe,San Javier,1,0,12.3,1,1,2
Turista,14,medio,Tarde,Ayura,Envigado,1,0,9.0,2,1,1
Premium,15,alto,Flexible,Hospital,San Javier,0,1,11.8,1,1,4
Frecuente,27,bajo,Fuera de Hora Pico,San Javier,San Antonio,1,0,7.7,1,0,4
Premium,12,alto,Flexible,Aguacatala,Itagui,0,1,4.9,1,1,0
Premium,25,alto,Flexible,Industriales,Tricentenario,1,1,3.4,2,1,7
Premium,17,alto,Flexible,Estadio,Acevedo,0,1,7.0,3,0,6
Frecuente,27,bajo,Fuera de Hora Pico,Ayura,Santa Lucia,1,0,6.8,3,1,2
Premium,15,alto,Flexible,Prado,Alpujarra,0,1,9.7,3,1,2
Frecuente,56,bajo,Hora Pico,Poblado,Caribe,1,0,4.6,3,1,4
Ocasional,7,bajo,Noche,Acevedo,Alpujarra,0,0,14.9,2,0,8
Frecuente,48,bajo,Hora Pico,Envigado,Industriales,1,0,11.1,1,1,2
Frecuente,54,bajo,Fuera de Hora Pico,Tricentenario,Caribe,1,0,7.3,2,1,8
Turista,5,medio,Tarde,Itagui,Industriales,1,0,13.7,0,0,5
Turista,8,medio,Tarde,Aguacatala,Prado,1,0,10.7,0,1,4
Frecuente,51,bajo,Hora Pico,Santa Lucia,Parque Berrio,1,0,13.0,1,1,7
Frecuente,60,bajo,Fuera de Hora Pico,Niquia,San Javier,1,0,7.8,0,1,2
Turista,9,medio,Tarde,Parque Berrio,Industriales,1,0,10.6,0,1,6
Ocasional,5,bajo,Noche,Itagui,Madera,0,0,3.1,0,1,5
Premium,14,alto,Flexible,Floresta,Hospital,1,1,3.5,0,1,8
Premium,17,alto,Flexible,Floresta,Parque Berrio,1,1,13.3,1,1,0
Premium,10,alto,Flexible,San Javier,Santa Lucia,1,1,9.6,3,1,3
Ocasional,8,bajo,Mañana,Acevedo,Poblado,0,0,14.9,2,1,6
Ocasional,1,bajo,Noche,Bello,San Javier,1,0,9.4,3,1,1
Ocasional,8,bajo,Mañana,San Javier,Prado,0,0,3.0,1,1,0
Turista,7,medio,Tarde,Caribe,Tricentenario,1,0,14.7,3,1,4
Frecuente,39,bajo,Fuera de Hora Pico,Estadio,San Javier,1,0,8.0,1,1,5
Ocasional,6,bajo,Mañana,Aguacatala,Ayura,1,0,11.1,2,0,6
Ocasional,3,bajo,Noche,Santa Lucia,Itagui,1,0,13.5,1,1,8
Turista,8,medio,Tarde,Alpujarra,La Estrella,1,0,10.7,3,1,2
Ocasional,5,bajo,Noche,San Javier,Alpujarra,0,0,13.6,1,1,8
Frecuente,34,bajo,Hora Pico,Suramericana,Acevedo,1,0,7.8,2,1,0
Frecuente,60,bajo,Hora Pico,Sabaneta,Aguacatala,1,0,8.5,2,0,4
Frecuente,34,bajo,Hora Pico,Itagui,Floresta,1,0,6.7,3,1,7
Premium,6,alto,Flexible,Poblado,Tricentenario,1,1,6.1,3,1,7
Frecuente,52,bajo,Hora Pico,San Javier,Suramericana,1,0,6.5,0,1,1
Ocasional,1,bajo,Noche,Envigado,Parque Berrio,1,0,6.5,1,1,2
Frecuente,24,bajo,Fuera de Hora Pico,La Estrella,Prado,1,0,4.6,1,1,6
Premium,21,alto,Flexible,Estadio,Bello,1,1,14.6,1,0,1
Ocasional,6,bajo,Noche,Aguacatala,Sabaneta,1,0,9.9,0,1,8
Premium,12,alto,Flexible,Exposiciones,Alpujarra,1,1,14.5,1,1,3
Premium,11,alto,Flexible,Bello,Floresta,1,1,13.4,0,1,0
Turista,13,medio,Tarde,Universidad,Madera,1,0,14.3,1,1,4
Frecuente,40,bajo,Fuera de Hora Pico,Envigado,Estadio,1,0,12.4,2,1,0
Turista,6,medio,Tarde,Santa Lucia,Estadio,1,0,13.0,1,1,1
Ocasional,2,bajo,Mañana,Parque Berrio,San Javier,1,0,4.8,0,1,4
Turista,11,medio,Tarde,Ayura,Sabaneta,1,0,5.6,3,1,7
Ocasional,8,bajo,Mañana,Niquia,Aguacatala,1,0,3.3,2,1,0
Turista,5,medio,Tarde,Exposiciones,Santa Lucia,1,0,5.6,3,1,4
Frecuente,28,bajo,Fuera de Hora Pico,San Antonio,Aguacatala,1,0,4.8,3,1,0
Premium,20,alto,Flexible,Ayura,La Estrella,1,1,15.0,1,1,8
Turista,10,medio,Tarde,San Javier,San Antonio,1,0,5.0,1,1,6
Frecuente,44,bajo,Hora Pico,Suramericana,Ayura,1,0,6.6,2,0,8
Frecuente,52,bajo,Fuera de Hora Pico,Poblado,Floresta,1,0,13.7,1,1,6
Frecuente,58,bajo,Hora Pico,Acevedo,Poblado,1,0,12.6,2,0,5
Frecuente,50,bajo,Fuera de Hora Pico,Poblado,Cisneros,1,0,9.5,3,1,5
Premium,12,alto,Flexible,Madera,San Javier,0,1,8.4,1,0,3
Premium,20,alto,Flexible,Madera,La Estrella,1,1,13.0,0,1,6
Premium,25,alto,Flexible,Acevedo,Cisneros,0,1,3.2,0,1,2
Turista,11,medio,Tarde,Industriales,Parque Berrio,1,0,11.0,2,1,8
Turista,3,medio,Tarde,Estadio,Niquia,1,0,7.2,1,1,3
Ocasional,7,bajo,Mañana,Sabaneta,Floresta,0,0,3.0,1,1,6
Frecuente,30,bajo,Fuera de Hora Pico,La Estrella,Itagui,1,0,13.9,1,1,7
Premium,17,alto,Flexible,Exposiciones,Envigado,0,1,11.1,3,1,1
Ocasional,6,bajo,Mañana,Estadio,Cisneros,1,0,5.5,3,0,0
Turista,8,medio,Tarde,Poblado,La Estrella,1,0,5.3,0,1,4
Premium,25,alto,Flexible,Itagui,Floresta,0,1,9.8,2,1,6
Frecuente,60,bajo,Fuera de Hora Pico,San Javier,Universidad,1,0,9.6,0,1,2
Turista,10,medio,Tarde,San Javier,Madera,1,0,13.1,3,1,3
Turista,11,medio,Tarde,San Antonio,Niquia,1,0,10.8,0,1,1
Frecuente,42,bajo,Hora Pico,La Estrella,Acevedo,1,0,12.5,1,0,8
Turista,10,medio,Tarde,Tricentenario,Niquia,1,0,8.7,0,0,5
Turista,9,medio,Tarde,Madera,La Estrella,1,0,7.9,3,1,6
Ocasional,2,bajo,Noche,Bello,Floresta,1,0,6.2,2,1,1
Ocasional,3,bajo,Tarde,San Antonio,Aguacatala,1,0,7.5,2,1,6
Turista,8,medio,Tarde,Floresta,Poblado,1,0,13.6,1,1,7
Turista,7,medio,Tarde,Madera,Suramericana,1,0,3.7,0,1,5
Ocasional,3,bajo,Mañana,Bello,La Estrella,0,0,12.4,3,1,2
Ocasional,5,bajo,Noche,La Estrella,Niquia,1,0,13.4,0,1,5
Frecuente,49,bajo,Hora Pico,Cisneros,Suramericana,1,0,3.2,1,1,4
Frecuente,54,bajo,Hora Pico,Aguacatala,Floresta,1,0,9.3,3,0,3
Ocasional,7,bajo,Mañana,Bello,Ayura,1,0,4.3,0,1,1
Turista,12,medio,Tarde,Bello,Prado,1,0,8.2,3,0,0
Premium,8,alto,Flexible,San Javier,Itagui,1,1,10.7,3,1,6
Frecuente,26,bajo,Fuera de Hora Pico,Industriales,Aguacatala,1,0,3.4,3,1,8
Turista,7,medio,Tarde,Sabaneta,Industriales,1,0,12.9,1,0,8
Frecuente,21,bajo,Fuera de Hora Pico,Envigado,Ayura,1,0,6.7,3,1,8
Frecuente,36,bajo,Hora Pico,Poblado,Alpujarra,1,0,10.5,3,1,6
Frecuente,48,bajo,Fuera de Hora Pico,Ayura,Caribe,1,0,14.3,1,0,0
Turista,4,medio,Tarde,San Antonio,Prado,1,0,8.9,2,1,5
Ocasional,2,bajo,Mañana,Exposiciones,Aguacatala,0,0,13.3,0,0,5
Turista,10,medio,Tarde,Estadio,Floresta,1,0,9.3,0,0,8
Frecuente,54,bajo,Hora Pico,Parque Berrio,Suramericana,1,0,13.0,2,1,1
Frecuente,48,bajo,Hora Pico,Industriales,Cisneros,1,0,6.9,2,1,2
Frecuente,26,bajo,Fuera de Hora Pico,Itagui,Industriales,1,0,10.7,3,1,1
Frecuente,27,bajo,Hora Pico,Alpujarra,Acevedo,1,0,9.2,0,1,6
Ocasional,1,bajo,Tarde,Sabaneta,Bello,1,0,6.6,2,0,4
Ocasional,6,bajo,Noche,San Antonio,Acevedo,0,0,10.3,1,1,2
Turista,11,medio,Tarde,Itagui,Madera,1,0,15.0,0,1,2
Turista,15,medio,Tarde,Cisneros,Envigado,1,0,10.2,0,1,6
Ocasional,7,bajo,Noche,Cisneros,Parque Berrio,0,0,6.7,0,1,6
Turista,4,medio,Tarde,Acevedo,Ayura,1,0,12.1,1,1,4
Frecuente,20,bajo,Fuera de Hora Pico,Aguacatala,Bello,1,0,9.7,0,1,8
Premium,22,alto,Flexible,San Javier,Niquia,1,1,6.1,3,1,5
Turista,5,medio,Tarde,Parque Berrio,Niquia,1,0,3.4,0,0,5
Ocasional,7,bajo,Mañana,Alpujarra,Sabaneta,1,0,9.7,3,0,2
Premium,24,alto,Flexible,Industriales,Prado,1,1,10.7,0,1,5
Frecuente,31,bajo,Fuera de Hora Pico,Madera,La Estrella,1,0,9.9,0,0,6
Frecuente,33,bajo,Fuera de Hora Pico,Sabaneta,Tricentenario,1,0,14.8,3,1,7
Turista,3,medio,Tarde,Envigado,San Antonio,1,0,9.9,1,1,2
Frecuente,59,bajo,Fuera de Hora Pico,Floresta,Alpujarra,1,0,6.2,2,0,2
Ocasional,4,bajo,Noche,Acevedo,Tricentenario,0,0,6.8,2,1,4
Ocasional,6,bajo,Mañana,Sabaneta,Envigado,0,0,12.2,2,1,3
Frecuente,33,bajo,Fuera de Hora Pico,Alpujarra,Niquia,1,0,9.1,1,1,3
Ocasional,8,bajo,Tarde,Cisneros,San Antonio,0,0,4.8,1,0,3
Premium,9,alto,Flexible,Itagui,Alpujarra,0,1,12.6,3,1,6
Premium,18,alto,Flexible,Aguacatala,Universidad,0,1,13.6,2,0,6
Premium,15,alto,Flexible,Parque Berrio,Cisneros,0,1,9.2,2,0,8
Frecuente,53,bajo,Fuera de Hora Pico,Caribe,Exposiciones,1,0,11.8,3,1,3
Turista,3,medio,Tarde,Estadio,Industriales,1,0,13.5,1,1,5
Turista,14,medio,Tarde,Universidad,Industriales,1,0,3.2,0,1,8
Frecuente,28,bajo,Fuera de Hora Pico,Tricentenario,Suramericana,1,0,5.4,0,1,7
Premium,5,alto,Flexible,Alpujarra,Universidad,0,1,13.2,3,1,3
Premium,8,alto,Flexible,Aguacatala,San Antonio,1,1,12.1,3,0,7
Ocasional,4,bajo,Tarde,Niquia,Envigado,1,0,3.4,2,0,2
Ocasional,3,bajo,Noche,La Estrella,Cisneros,0,0,12.3,3,1,5
Turista,14,medio,Tarde,Floresta,Alpujarra,1,0,13.1,3,1,6
Premium,14,alto,Flexible,Caribe,San Javier,0,1,6.9,3,0,2
Frecuente,20,bajo,Hora Pico,Suramericana,Prado,1,0,12.3,2,1,2
Turista,4,medio,Tarde,Universidad,Envigado,1,0,3.7,0,1,6
Ocasional,7,bajo,Noche,Sabaneta,La Estrella,0,0,6.2,0,0,6
Frecuente,53,bajo,Hora Pico,Sabaneta,Tricentenario,1,0,3.8,1,1,8
Turista,3,medio,Tarde,Parque Berrio,Floresta,1,0,5.2,2,1,1
Ocasional,4,bajo,Tarde,La Estrella,Niquia,0,0,7.3,2,1,6
Frecuente,40,bajo,Hora Pico,San Javier,Itagui,1,0,7.6,2,0,3
Premium,10,alto,Flexible,Estadio,Niquia,1,1,9.3,0,1,0
Turista,4,medio,Tarde,Parque Berrio,La Estrella,1,0,11.9,1,1,0
Frecuente,46,bajo,Hora Pico,Ayura,San Javier,1,0,7.0,2,0,4
Frecuente,51,bajo,Hora Pico,Estadio,Acevedo,1,0,13.1,1,1,7
Turista,9,medio,Tarde,Universidad,Itagui,1,0,12.4,1,1,1
Ocasional,1,bajo,Tarde,Ayura,Parque Berrio,0,0,11.4,0,1,7
Turista,8,medio,Tarde,Estadio,Exposiciones,1,0,9.2,2,0,8
Ocasional,1,bajo,Mañana,Prado,Aguacatala,1,0,5.0,0,1,3
Ocasional,2,bajo,Mañana,Alpujarra,La Estrella,1,0,11.3,2,1,3
Ocasional,3,bajo,Noche,Acevedo,Caribe,0,0,3.9,0,1,0
Premium,10,alto,Flexible,Aguacatala,San Antonio,0,1,9.3,0,1,8
Premium,24,alto,Flexible,Industriales,Universidad,0,1,3.3,2,0,5
Frecuente,49,bajo,Hora Pico,Exposiciones,Madera,1,0,9.6,0,0,5
Frecuente,26,bajo,Hora Pico,Niquia,Acevedo,1,0,8.5,1,1,1
Frecuente,45,bajo,Hora Pico,Tricentenario,Hospital,1,0,9.5,0,0,7
Ocasional,3,bajo,Mañana,Cisneros,Sabaneta,0,0,6.7,0,1,4
Turista,12,medio,Tarde,Exposiciones,Madera,1,0,13.4,1,1,0
Turista,10,medio,Tarde,Tricentenario,Ayura,1,0,4.9,2,1,8
Ocasional,7,bajo,Noche,Santa Lucia,San Javier,0,0,13.6,2,0,3
Premium,5,alto,Flexible,Santa Lucia,Caribe,1,1,8.1,2,1,0
Premium,23,alto,Flexible,Acevedo,Ayura,1,1,5.9,2,1,5
Ocasional,4,bajo,Mañana,Niquia,Sabaneta,0,0,7.7,1,0,2
Premium,5,alto,Flexible,Madera,San Javier,1,1,13.1,2,1,6
Turista,8,medio,Tarde,Hospital,Prado,1,0,9.8,1,1,3
Premium,20,alto,Flexible,Hospital,La Estrella,0,1,4.2,2,1,0
Ocasional,1,bajo,Noche,Acevedo,Industriales,1,0,4.7,3,1,0
Ocasional,5,bajo,Tarde,La Estrella,Acevedo,0,0,6.2,2,0,0
Frecuente,56,bajo,Fuera de Hora Pico,Estadio,La Estrella,1,0,13.8,2,1,5
Premium,17,alto,Flexible,Bello,Tricentenario,0,1,9.0,0,0,2
Ocasional,2,bajo,Tarde,Acevedo,La Estrella,1,0,9.3,0,1,0
Ocasional,8,bajo,Tarde,Poblado,San Antonio,0,0,4.4,1,1,7
Turista,13,medio,Tarde,Alpujarra,Cisneros,1,0,3.3,3,0,6
Frecuente,29,bajo,Fuera de Hora Pico,Universidad,Estadio,1,0,10.2,3,1,8
Turista,15,medio,Tarde,Caribe,Niquia,1,0,4.7,0,0,8
Turista,4,medio,Tarde,Niquia,Prado,1,0,7.6,2,0,7
Turista,15,medio,Tarde,Parque Berrio,Madera,1,0,6.0,1,1,7
Ocasional,8,bajo,Tarde,Universidad,Madera,1,0,13.4,2,1,5
Ocasional,1,bajo,Mañana,La Estrella,Sabaneta,0,0,13.8,3,1,5
Premium,20,alto,Flexible,Industriales,Prado,1,1,4.6,3,1,4
Frecuente,46,bajo,Hora Pico,Bello,Cisneros,1,0,10.3,1,0,0
Ocasional,5,bajo,Noche,San Javier,Parque Berrio,1,0,8.3,1,1,6
Ocasional,8,bajo,Tarde,Aguacatala,Bello,0,0,12.4,0,0,5
Frecuente,41,bajo,Fuera de Hora Pico,Universidad,Santa Lucia,1,0,10.9,1,0,1
