estacion,dia_semana,hora,es_hora_pico,es_finde_semana,afluencia_1,afluencia_2,afluencia_3,afluencia_4,afluencia_promedio,capacidad_estacion,porcentaje_ocupacion,tiempo_espera_min,nivel_congestion,clima,evento_especial
Hospital,Miercoles,15,0,0,914,1619,1896,1436,1466.2,5000,29.3,13.1,Bajo,Soleado,0
Parque Berrio,Jueves,11,1,0,3650,2415,2121,2376,2640.5,5000,52.8,14.2,Medio,Soleado,0
San Antonio,Miercoles,0,0,0,678,726,611,331,586.5,5000,11.7,13.7,Bajo,Nublado,1
Alpujarra,Sabado,15,0,1,1205,2385,800,1864,1563.5,5000,31.3,7.2,Bajo,Nublado,0
Bello,Martes,3,0,0,283,136,342,537,324.5,5000,6.5,2.7,Bajo,Lluvia,0
Itagui,Lunes,0,0,0,440,427,404,136,351.8,5000,7.0,3.3,Bajo,Soleado,0
Alpujarra,Lunes,18,1,0,6919,5633,1865,3959,4594.0,5000,91.9,15.4,Alto,Nublado,0
Sabaneta,Martes,13,1,0,1442,1288,1015,2081,1456.5,5000,29.1,21.8,Bajo,Soleado,0
Alpujarra,Domingo,20,0,1,1018,1251,804,2767,1460.0,5000,29.2,4.8,Bajo,Nublado,0
Santa Lucia,Viernes,17,1,0,1477,871,2655,4581,2396.0,5000,47.9,20.9,Bajo,Soleado,0
Poblado,Sabado,17,1,1,10053,10254,9634,13012,10738.2,5000,214.8,19.8,Alto,Tormenta,0
Universidad,Viernes,2,0,0,250,400,353,259,315.5,5000,6.3,12.3,Bajo,Soleado,0
Prado,Martes,11,1,0,2121,1516,3223,2423,2320.8,5000,46.4,15.8,Bajo,Lluvia,0
Itagui,Jueves,6,1,0,2003,3595,1469,2486,2388.2,5000,47.8,16.0,Bajo,Lluvia,0
Itagui,Jueves,4,0,0,141,208,120,631,275.0,5000,5.5,6.9,Bajo,Tormenta,0
Acevedo,Martes,7,1,0,4659,4086,3290,4385,4105.0,5000,82.1,16.7,Alto,Tormenta,1
Madera,Miercoles,5,0,0,319,282,447,410,364.5,5000,7.3,5.3,Bajo,Soleado,0
Niquia,Domingo,1,0,1,795,799,410,414,604.5,5000,12.1,10.5,Bajo,Tormenta,0
Ayura,Viernes,11,1,0,1473,1445,1275,3112,1826.2,5000,36.5,21.2,Bajo,Soleado,0
Estadio,Martes,14,1,0,2100,1934,1663,1506,1800.8,5000,36.0,9.0,Bajo,Soleado,0
Niquia,Jueves,0,0,0,490,459,833,312,523.5,5000,10.5,7.2,Bajo,Nublado,0
San Javier,Domingo,11,1,1,1714,919,940,1228,1200.2,5000,24.0,6.4,Bajo,Tormenta,0
Suramericana,Sabado,8,1,1,917,1635,2288,1515,1588.8,5000,31.8,12.2,Bajo,Soleado,0
Industriales,Miercoles,3,0,0,208,607,563,495,468.2,5000,9.4,13.7,Bajo,Soleado,0
Exposiciones,Jueves,22,0,0,1749,850,1323,845,1191.8,5000,23.8,8.1,Bajo,Nublado,0
Bello,Miercoles,16,0,0,496,1237,1278,1761,1193.0,5000,23.9,11.7,Bajo,Tormenta,0
Parque Berrio,Martes,14,1,0,1699,2567,2868,2918,2513.0,5000,50.3,8.1,Medio,Lluvia,1
San Antonio,Sabado,3,0,1,189,294,353,341,294.2,5000,5.9,14.7,Bajo,Soleado,0
Estadio,Lunes,11,1,0,1228,3715,2249,3033,2556.2,5000,51.1,22.1,Medio,Nublado,0
Hospital,Jueves,3,0,0,329,396,229,326,320.0,5000,6.4,12.3,Bajo,Lluvia,1
Niquia,Viernes,2,0,0,816,312,527,914,642.2,5000,12.8,4.1,Bajo,Tormenta,0
Aguacatala,Lunes,1,0,0,246,331,384,359,330.0,5000,6.6,10.8,Bajo,Lluvia,0
Poblado,Martes,20,0,0,755,2669,2498,2679,2150.2,5000,43.0,7.8,Bajo,Soleado,0
Floresta,Jueves,2,0,0,491,331,708,330,465.0,5000,9.3,9.3,Bajo,Lluvia,0
Madera,Lunes,13,1,0,1302,1096,3344,1828,1892.5,5000,37.9,6.4,Bajo,Nublado,0
San Antonio,Domingo,3,0,1,829,223,484,260,449.0,5000,9.0,2.2,Bajo,Lluvia,0
Niquia,Miercoles,16,0,0,3318,1158,3005,1175,2164.0,5000,43.3,14.8,Bajo,Tormenta,1
Santa Lucia,Lunes,22,0,0,1913,1753,1635,1876,1794.2,5000,35.9,4.9,Bajo,Soleado,1
Niquia,Sabado,16,0,1,2147,1374,1385,1756,1665.5,5000,33.3,13.0,Bajo,Soleado,1
San Antonio,Domingo,15,0,1,2362,1587,1984,1014,1736.8,5000,34.7,9.2,Bajo,Soleado,0
Envigado,Martes,4,0,0,467,138,453,412,367.5,5000,7.3,3.1,Bajo,Lluvia,0
Exposiciones,Domingo,18,1,1,1408,4779,1664,5237,3272.0,5000,65.4,13.4,Medio,Nublado,0
Ayura,Miercoles,17,1,0,1488,3917,2347,2835,2646.8,5000,52.9,16.6,Medio,Tormenta,0
Parque Berrio,Lunes,4,0,0,268,316,417,532,383.2,5000,7.7,4.6,Bajo,Tormenta,0
Poblado,Martes,7,1,0,3723,2461,3591,5049,3706.0,5000,74.1,17.3,Medio,Soleado,0
Hospital,Martes,14,1,0,873,1645,3518,942,1744.5,5000,34.9,14.2,Bajo,Nublado,1
Tricentenario,Jueves,5,0,0,426,584,536,403,487.2,5000,9.7,3.5,Bajo,Soleado,0
Universidad,Jueves,22,0,0,737,917,558,1334,886.5,5000,17.7,5.6,Bajo,Soleado,0
Itagui,Viernes,6,1,0,1739,2835,1703,4262,2634.8,5000,52.7,21.5,Medio,Nublado,0
Santa Lucia,Viernes,17,1,0,2549,1640,944,3377,2127.5,5000,42.5,12.5,Bajo,Lluvia,0
Poblado,Viernes,2,0,0,1029,544,1071,242,721.5,5000,14.4,11.8,Bajo,Tormenta,0
Niquia,Jueves,22,0,0,1962,4135,2103,4171,3092.8,5000,61.9,7.7,Medio,Soleado,0
San Antonio,Lunes,5,0,0,919,547,296,488,562.5,5000,11.2,4.8,Bajo,Nublado,0
Niquia,Domingo,12,1,1,4809,891,2461,3087,2812.0,5000,56.2,16.0,Medio,Lluvia,0
Aguacatala,Lunes,18,1,0,1445,3387,2142,1566,2135.0,5000,42.7,20.8,Bajo,Soleado,0
Cisneros,Domingo,17,1,1,796,1106,1368,1766,1259.0,5000,25.2,16.4,Bajo,Tormenta,0
Envigado,Miercoles,19,1,0,1939,3817,1901,2153,2452.5,5000,49.0,20.2,Bajo,Nublado,0
Caribe,Viernes,12,1,0,1795,820,2457,1566,1659.5,5000,33.2,22.4,Bajo,Tormenta,0
Tricentenario,Viernes,11,1,0,1404,2308,1511,1717,1735.0,5000,34.7,4.6,Bajo,Tormenta,0
Suramericana,Viernes,5,0,0,705,264,163,294,356.5,5000,7.1,7.2,Bajo,Soleado,0
Itagui,Jueves,19,1,0,2744,1148,1864,2556,2078.0,5000,41.6,3.9,Bajo,Nublado,0
Suramericana,Lunes,2,0,0,400,255,466,234,338.8,5000,6.8,6.5,Bajo,Tormenta,1
Parque Berrio,Lunes,18,1,0,1523,2179,2256,3219,2294.2,5000,45.9,5.7,Bajo,Tormenta,0
Madera,Viernes,17,1,0,994,951,1833,1618,1349.0,5000,27.0,21.2,Bajo,Lluvia,1
Madera,Jueves,19,1,0,3231,2179,2741,2389,2635.0,5000,52.7,5.8,Medio,Soleado,0
Prado,Lunes,14,1,0,2241,3104,2170,2178,2423.2,5000,48.5,4.1,Bajo,Nublado,0
Caribe,Lunes,3,0,0,513,331,446,365,413.8,5000,8.3,9.4,Bajo,Nublado,0
San Antonio,Lunes,14,1,0,5563,2877,1741,6831,4253.0,5000,85.1,16.8,Alto,Lluvia,0
Prado,Domingo,8,1,1,1692,2364,1286,1803,1786.2,5000,35.7,7.3,Bajo,Tormenta,0
Cisneros,Domingo,1,0,1,161,99,163,249,168.0,5000,3.4,9.5,Bajo,Tormenta,0
Sabaneta,Jueves,10,0,0,1318,996,1361,1655,1332.5,5000,26.7,12.5,Bajo,Soleado,0
Parque Berrio,Viernes,16,0,0,1630,2530,434,1304,1474.5,5000,29.5,4.1,Bajo,Tormenta,0
Floresta,Lunes,6,1,0,2962,2181,1073,1795,2002.8,5000,40.1,3.3,Bajo,Nublado,0
Sabaneta,Miercoles,1,0,0,348,675,255,227,376.2,5000,7.5,7.2,Bajo,Soleado,0
Sabaneta,Lunes,2,0,0,422,295,580,154,362.8,5000,7.3,14.9,Bajo,Nublado,0
Madera,Jueves,17,1,0,2501,2766,4189,2182,2909.5,5000,58.2,8.3,Medio,Lluvia,0
Universidad,Sabado,8,1,1,928,2324,1187,968,1351.8,5000,27.0,3.8,Bajo,Lluvia,0
Niquia,Martes,3,0,0,1391,670,918,1272,1062.8,5000,21.3,11.6,Bajo,Nublado,0
Madera,Sabado,22,0,1,419,639,525,275,464.5,5000,9.3,3.1,Bajo,Tormenta,0
Universidad,Sabado,17,1,1,1718,1894,1417,854,1470.8,5000,29.4,8.2,Bajo,Soleado,1
Itagui,Viernes,2,0,0,266,375,143,409,298.2,5000,6.0,7.3,Bajo,Tormenta,0
Exposiciones,Sabado,3,0,1,435,297,428,421,395.2,5000,7.9,13.2,Bajo,Lluvia,0
La Estrella,Lunes,19,1,0,2168,1793,1123,1505,1647.2,5000,32.9,20.5,Bajo,Nublado,0
Universidad,Domingo,22,0,1,857,547,557,1365,831.5,5000,16.6,14.6,Bajo,Soleado,0
Hospital,Viernes,8,1,0,1102,677,1877,1470,1281.5,5000,25.6,3.2,Bajo,Lluvia,0
Prado,Miercoles,11,1,0,2608,808,2010,1989,1853.8,5000,37.1,6.7,Bajo,Nublado,0
Santa Lucia,Martes,13,1,0,1384,1679,1113,2802,1744.5,5000,34.9,10.5,Bajo,Nublado,0
San Antonio,Miercoles,16,0,0,2935,1911,2238,3422,2626.5,5000,52.5,8.8,Medio,Soleado,0
Niquia,Miercoles,6,1,0,7972,2228,2844,7541,5146.2,5000,102.9,9.1,Alto,Nublado,1
Industriales,Sabado,14,1,1,943,1168,1648,2089,1462.0,5000,29.2,7.8,Bajo,Tormenta,0
Parque Berrio,Lunes,0,0,0,419,176,537,330,365.5,5000,7.3,5.0,Bajo,Lluvia,0
Poblado,Sabado,16,0,1,5877,2598,3737,6168,4595.0,5000,91.9,7.0,Alto,Lluvia,0
Caribe,Domingo,21,0,1,570,1087,671,327,663.8,5000,13.3,6.4,Bajo,Nublado,0
Prado,Lunes,4,0,0,407,410,283,436,384.0,5000,7.7,12.4,Bajo,Tormenta,0
Exposiciones,Jueves,4,0,0,278,202,230,447,289.2,5000,5.8,14.0,Bajo,Tormenta,0
Alpujarra,Lunes,11,1,0,7845,2320,5174,7802,5785.2,5000,115.7,13.6,Alto,Tormenta,0
Itagui,Viernes,15,0,0,1196,1444,1717,1487,1461.0,5000,29.2,5.7,Bajo,Nublado,1
Aguacatala,Miercoles,18,1,0,2340,2502,2628,2982,2613.0,5000,52.3,8.8,Medio,Tormenta,1
Caribe,Viernes,3,0,0,484,395,201,261,335.2,5000,6.7,7.8,Bajo,Soleado,0
Universidad,Sabado,21,0,1,428,434,757,1124,685.8,5000,13.7,10.9,Bajo,Nublado,1
Acevedo,Lunes,16,0,0,1908,4421,2157,3625,3027.8,5000,60.6,3.5,Medio,Soleado,1
Parque Berrio,Domingo,9,0,1,2421,3415,1766,1908,2377.5,5000,47.5,12.1,Bajo,Soleado,0
Poblado,Miercoles,22,0,0,2178,1645,1529,2978,2082.5,5000,41.6,4.4,Bajo,Nublado,0
Hospital,Martes,16,0,0,1274,1900,1822,1938,1733.5,5000,34.7,3.1,Bajo,Tormenta,0
Santa Lucia,Viernes,11,1,0,1347,2242,2105,2365,2014.8,5000,40.3,18.4,Bajo,Lluvia,0
Caribe,Viernes,19,1,0,3038,827,3389,2551,2451.2,5000,49.0,13.9,Bajo,Lluvia,0
Cisneros,Lunes,4,0,0,155,769,740,312,494.0,5000,9.9,13.3,Bajo,Soleado,0
Sabaneta,Martes,21,0,0,1195,1688,1604,673,1290.0,5000,25.8,7.6,Bajo,Nublado,0
Universidad,Lunes,0,0,0,316,470,452,521,439.8,5000,8.8,4.5,Bajo,Lluvia,0
Exposiciones,Jueves,4,0,0,405,653,380,563,500.2,5000,10.0,4.7,Bajo,Lluvia,1
Bello,Viernes,20,0,0,887,1271,1489,1424,1267.8,5000,25.4,7.0,Bajo,Tormenta,0
San Javier,Viernes,10,0,0,486,648,1538,1449,1030.2,5000,20.6,4.4,Bajo,Tormenta,1
Floresta,Miercoles,14,1,0,2248,1791,2214,862,1778.8,5000,35.6,10.3,Bajo,Nublado,1
Niquia,Jueves,11,1,0,3995,5285,7177,3343,4950.0,5000,99.0,19.5,Alto,Soleado,1
Bello,Jueves,8,1,0,1282,3394,1263,3040,2244.8,5000,44.9,18.6,Bajo,Tormenta,0
Acevedo,Lunes,10,0,0,2096,2224,1982,3902,2551.0,5000,51.0,11.5,Medio,Soleado,0
Alpujarra,Viernes,2,0,0,730,1196,613,409,737.0,5000,14.7,12.0,Bajo,Lluvia,0
Alpujarra,Viernes,4,0,0,558,440,1014,373,596.2,5000,11.9,14.1,Bajo,Soleado,0
Aguacatala,Miercoles,12,1,0,1032,3634,2680,1813,2289.8,5000,45.8,9.7,Bajo,Soleado,1
Parque Berrio,Miercoles,11,1,0,1254,1603,1366,3981,2051.0,5000,41.0,15.9,Bajo,Lluvia,0
Poblado,Viernes,0,0,0,683,1226,478,413,700.0,5000,14.0,11.6,Bajo,Lluvia,1
Acevedo,Domingo,21,0,1,780,2476,648,926,1207.5,5000,24.1,13.4,Bajo,Soleado,0
Industriales,Jueves,18,1,0,2136,2880,2610,1823,2362.2,5000,47.2,19.6,Bajo,Tormenta,0
Industriales,Martes,22,0,0,1507,1339,1021,2111,1494.5,5000,29.9,13.4,Bajo,Lluvia,1
Itagui,Domingo,18,1,1,1320,1201,1140,1343,1251.0,5000,25.0,19.0,Bajo,Lluvia,0
Niquia,Martes,20,0,0,2282,2620,3752,1429,2520.8,5000,50.4,4.2,Medio,Nublado,0
Aguacatala,Domingo,3,0,1,309,265,111,426,277.8,5000,5.6,9.2,Bajo,Soleado,0
Madera,Miercoles,7,1,0,2888,824,1366,3285,2090.8,5000,41.8,13.5,Bajo,Nublado,1
Ayura,Miercoles,3,0,0,154,153,469,678,363.5,5000,7.3,5.3,Bajo,Nublado,0
Alpujarra,Domingo,15,0,1,1052,1703,2661,1002,1604.5,5000,32.1,3.1,Bajo,Lluvia,0
Floresta,Jueves,21,0,0,1207,1707,572,1096,1145.5,5000,22.9,5.9,Bajo,Tormenta,0
San Javier,Lunes,0,0,0,620,555,707,477,589.8,5000,11.8,5.9,Bajo,Soleado,0
Hospital,Sabado,14,1,1,721,1214,1748,2380,1515.8,5000,30.3,4.5,Bajo,Lluvia,0
Alpujarra,Miercoles,17,1,0,5179,4454,4954,8530,5779.2,5000,115.6,14.5,Alto,Soleado,0
Poblado,Sabado,14,1,1,2789,5453,6937,5652,5207.8,5000,104.2,22.2,Alto,Lluvia,0
Universidad,Jueves,17,1,0,1475,2396,2813,1382,2016.5,5000,40.3,3.4,Bajo,Lluvia,1
Aguacatala,Lunes,7,1,0,3794,2884,914,2171,2440.8,5000,48.8,17.8,Bajo,Soleado,1
Exposiciones,Martes,1,0,0,720,632,353,600,576.2,5000,11.5,8.0,Bajo,Soleado,0
Tricentenario,Martes,7,1,0,2479,4596,3006,1664,2936.2,5000,58.7,20.3,Medio,Tormenta,1
Niquia,Sabado,0,0,1,631,430,656,344,515.2,5000,10.3,6.7,Bajo,Soleado,0
Acevedo,Sabado,23,0,1,332,836,609,556,583.2,5000,11.7,5.0,Bajo,Nublado,0
La Estrella,Viernes,5,0,0,432,500,468,587,496.8,5000,9.9,11.3,Bajo,Tormenta,0
Ayura,Jueves,19,1,0,1066,1304,1418,1272,1265.0,5000,25.3,8.8,Bajo,Soleado,1
Sabaneta,Lunes,6,1,0,3513,2067,2515,1725,2455.0,5000,49.1,6.3,Bajo,Soleado,0
San Javier,Sabado,9,0,1,1003,394,1255,899,887.8,5000,17.8,5.7,Bajo,Soleado,1
Bello,Martes,1,0,0,274,136,361,175,236.5,5000,4.7,11.7,Bajo,Soleado,1
Suramericana,Jueves,12,1,0,2790,1965,3333,2580,2667.0,5000,53.3,3.1,Medio,Nublado,0
La Estrella,Viernes,1,0,0,497,252,186,209,286.0,5000,5.7,11.8,Bajo,Tormenta,1
Tricentenario,Miercoles,12,1,0,2947,1502,2543,3157,2537.2,5000,50.7,18.3,Medio,Soleado,0
Floresta,Lunes,22,0,0,601,1463,1103,1712,1219.8,5000,24.4,7.1,Bajo,Soleado,1
Aguacatala,Lunes,5,0,0,229,628,272,205,333.5,5000,6.7,8.7,Bajo,Tormenta,0
San Javier,Lunes,13,1,0,3919,2076,1298,2142,2358.8,5000,47.2,15.7,Bajo,Lluvia,0
Poblado,Lunes,7,1,0,3064,4441,6863,2844,4303.0,5000,86.1,20.2,Alto,Nublado,0
Cisneros,Domingo,9,0,1,947,821,811,1009,897.0,5000,17.9,14.4,Bajo,Nublado,0
San Antonio,Domingo,2,0,1,641,272,459,241,403.2,5000,8.1,2.5,Bajo,Soleado,0
Floresta,Miercoles,2,0,0,210,310,562,371,363.2,5000,7.3,15.0,Bajo,Tormenta,0
Parque Berrio,Miercoles,0,0,0,364,460,236,383,360.8,5000,7.2,11.3,Bajo,Tormenta,0
Caribe,Lunes,2,0,0,291,664,475,604,508.5,5000,10.2,10.8,Bajo,Nublado,0
Madera,Martes,22,0,0,505,2156,1502,960,1280.8,5000,25.6,4.7,Bajo,Soleado,1
Bello,Jueves,20,0,0,1617,2027,1758,1208,1652.5,5000,33.1,11.7,Bajo,Tormenta,0
Industriales,Sabado,20,0,1,830,1028,625,334,704.2,5000,14.1,14.6,Bajo,Lluvia,0
Floresta,Sabado,6,1,1,1193,1341,1245,745,1131.0,5000,22.6,13.0,Bajo,Lluvia,0
Alpujarra,Viernes,22,0,0,2264,3985,1212,3112,2643.2,5000,52.9,14.0,Medio,Lluvia,0
Hospital,Domingo,23,0,1,131,210,302,146,197.2,5000,3.9,4.5,Bajo,Nublado,0
Alpujarra,Jueves,3,0,0,323,1230,597,619,692.2,5000,13.8,13.3,Bajo,Tormenta,1
Santa Lucia,Viernes,19,1,0,2251,1722,2572,1771,2079.0,5000,41.6,6.0,Bajo,Soleado,0
Acevedo,Lunes,18,1,0,6197,7611,5481,4969,6064.5,5000,121.3,7.3,Alto,Soleado,0
Universidad,Lunes,20,0,0,1946,2088,1629,433,1524.0,5000,30.5,13.2,Bajo,Nublado,1
San Javier,Sabado,23,0,1,225,146,260,388,254.8,5000,5.1,13.8,Bajo,Tormenta,0
Envigado,Jueves,11,1,0,2878,3668,2543,2966,3013.8,5000,60.3,3.7,Medio,Tormenta,1
Itagui,Lunes,5,0,0,308,253,298,512,342.8,5000,6.9,14.8,Bajo,Tormenta,0
Ayura,Martes,0,0,0,665,206,365,557,448.2,5000,9.0,5.3,Bajo,Nublado,0
La Estrella,Jueves,17,1,0,1086,2383,3411,1987,2216.8,5000,44.3,6.7,Bajo,Soleado,0
Sabaneta,Domingo,11,1,1,1617,2706,838,1302,1615.8,5000,32.3,13.5,Bajo,Lluvia,0
Prado,Lunes,7,1,0,2679,1738,1908,1329,1913.5,5000,38.3,9.7,Bajo,Tormenta,0
Ayura,Martes,2,0,0,404,476,258,291,357.2,5000,7.1,7.5,Bajo,Lluvia,0
Itagui,Viernes,16,0,0,1132,1081,559,668,860.0,5000,17.2,4.2,Bajo,Nublado,0
Cisneros,Miercoles,13,1,0,2869,2541,1766,3581,2689.2,5000,53.8,22.1,Medio,Soleado,0
Parque Berrio,Domingo,13,1,1,2907,3000,5905,3998,3952.5,5000,79.0,4.3,Medio,Soleado,1
Parque Berrio,Domingo,14,1,1,3567,1984,2979,5211,3435.2,5000,68.7,3.2,Medio,Soleado,1
Hospital,Viernes,1,0,0,375,592,168,304,359.8,5000,7.2,12.5,Bajo,Lluvia,0
Universidad,Lunes,0,0,0,163,419,243,671,374.0,5000,7.5,4.7,Bajo,Lluvia,0
Floresta,Sabado,15,0,1,1132,703,915,418,792.0,5000,15.8,8.6,Bajo,Nublado,0
Niquia,Domingo,12,1,1,2975,2921,3194,1627,2679.2,5000,53.6,20.6,Medio,Nublado,0
Bello,Sabado,22,0,1,863,1178,639,313,748.2,5000,15.0,5.8,Bajo,Soleado,0
Madera,Martes,13,1,0,2235,1416,1468,2854,1993.2,5000,39.9,8.5,Bajo,Tormenta,1
Floresta,Lunes,3,0,0,511,222,500,248,370.2,5000,7.4,11.8,Bajo,Lluvia,0
Floresta,Viernes,17,1,0,2487,1471,2656,1623,2059.2,5000,41.2,17.3,Bajo,Tormenta,0
San Antonio,Sabado,15,0,1,1521,1327,2961,1377,1796.5,5000,35.9,5.4,Bajo,Tormenta,0
Acevedo,Viernes,20,0,0,2092,1640,2836,2991,2389.8,5000,47.8,3.4,Bajo,Lluvia,0
Suramericana,Domingo,7,1,1,1140,1794,2250,504,1422.0,5000,28.4,5.0,Bajo,Lluvia,1
Madera,Lunes,12,1,0,1278,2341,957,1690,1566.5,5000,31.3,11.9,Bajo,Lluvia,0
Prado,Domingo,9,0,1,277,453,1208,946,721.0,5000,14.4,8.8,Bajo,Lluvia,1
Industriales,Martes,0,0,0,591,561,712,552,604.0,5000,12.1,4.7,Bajo,Nublado,1
Envigado,Jueves,6,1,0,3672,4231,2853,2248,3251.0,5000,65.0,19.6,Medio,Tormenta,0
Cisneros,Jueves,15,0,0,1634,791,896,836,1039.2,5000,20.8,3.7,Bajo,Soleado,0
Madera,Domingo,10,0,1,1509,655,777,765,926.5,5000,18.5,7.3,Bajo,Nublado,0
Tricentenario,Miercoles,23,0,0,151,510,574,485,430.0,5000,8.6,13.3,Bajo,Soleado,0
Itagui,Jueves,8,1,0,1582,780,3425,1523,1827.5,5000,36.5,22.4,Bajo,Tormenta,0
Parque Berrio,Lunes,22,0,0,989,1865,637,1929,1355.0,5000,27.1,13.9,Bajo,Lluvia,0
Envigado,Viernes,9,0,0,1573,1208,973,999,1188.2,5000,23.8,8.1,Bajo,Soleado,0
Tricentenario,Martes,15,0,0,806,1355,1940,536,1159.2,5000,23.2,2.1,Bajo,Nublado,0
Prado,Jueves,20,0,0,779,1435,2420,1480,1528.5,5000,30.6,13.5,Bajo,Soleado,1
Envigado,Domingo,0,0,1,248,151,181,200,195.0,5000,3.9,2.5,Bajo,Nublado,0
Estadio,Sabado,1,0,1,258,172,374,124,232.0,5000,4.6,7.0,Bajo,Soleado,0
Ayura,Miercoles,10,0,0,531,1370,716,1108,931.2,5000,18.6,3.3,Bajo,Soleado,0
Ayura,Martes,5,0,0,251,633,288,466,409.5,5000,8.2,3.0,Bajo,Nublado,0
Caribe,Jueves,23,0,0,761,186,547,293,446.8,5000,8.9,9.0,Bajo,Soleado,0
Caribe,Jueves,7,1,0,830,1429,2384,908,1387.8,5000,27.8,17.8,Bajo,Lluvia,0
San Javier,Viernes,2,0,0,375,497,654,570,524.0,5000,10.5,12.4,Bajo,Nublado,0
Cisneros,Lunes,22,0,0,2144,2161,1848,1954,2026.8,5000,40.5,8.3,Bajo,Nublado,0
San Javier,Lunes,19,1,0,1179,1903,2789,815,1671.5,5000,33.4,8.7,Bajo,Soleado,0
San Javier,Martes,16,0,0,525,1690,869,604,922.0,5000,18.4,10.0,Bajo,Nublado,0
Santa Lucia,Jueves,6,1,0,1775,3789,1761,1276,2150.2,5000,43.0,15.4,Bajo,Nublado,0
Floresta,Domingo,10,0,1,692,1172,893,795,888.0,5000,17.8,12.9,Bajo,Nublado,1
Cisneros,Miercoles,9,0,0,1383,690,1630,1364,1266.8,5000,25.3,5.2,Bajo,Nublado,0
Estadio,Miercoles,18,1,0,1034,1155,2816,2936,1985.2,5000,39.7,21.8,Bajo,Tormenta,0
Itagui,Viernes,1,0,0,452,527,153,223,338.8,5000,6.8,3.2,Bajo,Tormenta,0
San Antonio,Jueves,1,0,0,815,857,849,628,787.2,5000,15.7,10.1,Bajo,Soleado,1
Niquia,Jueves,10,0,0,3749,1101,3780,2634,2816.0,5000,56.3,7.6,Medio,Tormenta,0
Cisneros,Viernes,4,0,0,239,352,250,309,287.5,5000,5.8,9.1,Bajo,Nublado,0
Sabaneta,Domingo,4,0,1,303,303,129,284,254.8,5000,5.1,12.0,Bajo,Soleado,0
Santa Lucia,Jueves,1,0,0,338,535,227,164,316.0,5000,6.3,12.5,Bajo,Tormenta,0
Floresta,Miercoles,11,1,0,3628,2067,3640,874,2552.2,5000,51.0,20.1,Medio,Lluvia,0
Estadio,Jueves,0,0,0,287,399,164,391,310.2,5000,6.2,12.9,Bajo,Tormenta,0
Itagui,Sabado,8,1,1,1139,834,2031,2016,1505.0,5000,30.1,12.0,Bajo,Lluvia,0
Poblado,Martes,13,1,0,2211,7693,5940,7655,5874.8,5000,117.5,20.0,Alto,Tormenta,1
Santa Lucia,Lunes,2,0,0,278,254,134,767,358.2,5000,7.2,11.4,Bajo,Nublado,0
Acevedo,Miercoles,3,0,0,969,601,775,387,683.0,5000,13.7,13.6,Bajo,Lluvia,0
Exposiciones,Viernes,20,0,0,669,1660,2244,815,1347.0,5000,26.9,13.1,Bajo,Soleado,0
Alpujarra,Martes,9,0,0,3163,3289,2655,2895,3000.5,5000,60.0,3.2,Medio,Tormenta,1
Universidad,Martes,19,1,0,3453,3944,2946,1333,2919.0,5000,58.4,12.3,Medio,Tormenta,0
Santa Lucia,Viernes,21,0,0,888,1712,1182,1502,1321.0,5000,26.4,13.7,Bajo,Tormenta,0
Niquia,Miercoles,6,1,0,4227,5188,3922,2108,3861.2,5000,77.2,19.1,Medio,Tormenta,1
Sabaneta,Sabado,19,1,1,1432,1851,737,957,1244.2,5000,24.9,14.7,Bajo,Nublado,0
Madera,Jueves,13,1,0,3585,2892,1882,2817,2794.0,5000,55.9,12.7,Medio,Nublado,0
Santa Lucia,Miercoles,13,1,0,971,3340,2433,2485,2307.2,5000,46.1,7.2,Bajo,Lluvia,0
Universidad,Miercoles,17,1,0,2733,3673,2175,3112,2923.2,5000,58.5,15.4,Medio,Tormenta,0
Ayura,Lunes,12,1,0,3452,2518,3114,2750,2958.5,5000,59.2,20.6,Medio,Lluvia,1
Suramericana,Martes,6,1,0,1806,1511,2345,1429,1772.8,5000,35.5,20.9,Bajo,Nublado,0
Poblado,Viernes,13,1,0,5513,4759,4603,7944,5704.8,5000,114.1,3.9,Alto,Tormenta,0
Aguacatala,Lunes,15,0,0,1523,1425,1001,1005,1238.5,5000,24.8,7.6,Bajo,Lluvia,1
La Estrella,Domingo,13,1,1,745,833,2319,977,1218.5,5000,24.4,8.0,Bajo,Lluvia,0
Floresta,Lunes,5,0,0,492,198,323,251,316.0,5000,6.3,5.9,Bajo,Soleado,0
Itagui,Sabado,10,0,1,1101,838,1015,319,818.2,5000,16.4,2.2,Bajo,Nublado,0
Alpujarra,Lunes,13,1,0,1689,3950,4878,3173,3422.5,5000,68.5,13.4,Medio,Tormenta,0
Exposiciones,Domingo,12,1,1,3952,5559,3193,3392,4024.0,5000,80.5,3.8,Alto,Nublado,0
Envigado,Miercoles,14,1,0,2649,3287,1263,1304,2125.8,5000,42.5,18.0,Bajo,Soleado,1
Madera,Martes,12,1,0,1937,1939,1976,1684,1884.0,5000,37.7,11.2,Bajo,Soleado,0
Suramericana,Domingo,0,0,1,249,329,357,396,332.8,5000,6.7,6.7,Bajo,Lluvia,0
Caribe,Martes,18,1,0,2682,1733,3586,2694,2673.8,5000,53.5,7.5,Medio,Lluvia,0
San Javier,Domingo,10,0,1,875,1042,598,478,748.2,5000,15.0,9.8,Bajo,Nublado,1
Madera,Jueves,22,0,0,1829,1252,1016,1703,1450.0,5000,29.0,5.0,Bajo,Nublado,0
